time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
62926829  , 0.97222227 , -0.21527778 , -0.05138889    , 0.0 , 0.0 , -1.0    ,39.75 , -26.8125 , 4.25
396341  , 0.97222227 , -0.21527778 , -0.05138889    , 0.0 , 0.0 , -1.0    ,39.4375 , -27.0625 , 4.75
43689024  , 0.9805556 , -0.22638889 , -0.043055557    , 0.0 , 0.0 , -1.0    ,39.4375 , -27.0625 , 4.75
1097561  , 0.9805556 , -0.22638889 , -0.043055557    , 0.0 , 0.0 , -1.0    ,39.75 , -27.5625 , 5.25
27560976  , 0.9805556 , -0.22222224 , -0.03888889    , 0.0 , 0.0 , -1.0    ,39.75 , -27.5625 , 5.25
182927  , 0.9805556 , -0.22222224 , -0.03888889    , 0.0 , 0.0 , -1.0    ,39.75 , -27.0625 , 5.25
41798781  , 0.97638893 , -0.22222224 , -0.043055557    , 0.0 , 0.0 , -1.0    ,39.75 , -27.0625 , 5.25
182927  , 0.97638893 , -0.22222224 , -0.043055557    , 0.0 , 0.0 , -1.0    ,40.0 , -27.0625 , 5.25
57621951  , 0.9847223 , -0.23055556 , -0.034722224    , 0.0 , 0.0 , -1.0    ,40.0 , -27.0625 , 5.25
243903  , 0.9847223 , -0.23055556 , -0.034722224    , 0.0 , 0.0 , -1.0    ,40.5 , -27.0625 , 5.5
44268293  , 0.9805556 , -0.23888889 , -0.034722224    , 0.0 , 0.0 , -1.0    ,40.5 , -27.0625 , 5.5
274390  , 0.9805556 , -0.23888889 , -0.034722224    , 0.0 , 0.0 , -1.0    ,40.5 , -27.3125 , 5.25
182927  , 0.97638893 , -0.20694445 , -0.047222223    , 0.0 , 0.0 , -1.0    ,40.5 , -27.3125 , 5.25
182927  , 0.97638893 , -0.20694445 , -0.047222223    , 0.0 , 0.0 , -1.0    ,40.25 , -27.3125 , 5.5
42286585  , 0.98888886 , -0.19583334 , -0.047222223    , 0.0 , 0.0 , -1.0    ,40.25 , -27.3125 , 5.5
243903  , 0.98888886 , -0.19583334 , -0.047222223    , 0.0 , 0.0 , -1.0    ,40.0 , -27.0625 , 5.75
32073171  , 0.98888886 , -0.19166668 , -0.03888889    , 0.0 , 0.0 , -1.0    ,40.0 , -27.0625 , 5.75
3841463  , 0.98888886 , -0.19166668 , -0.03888889    , 0.0 , 0.0 , -1.0    ,40.5 , -26.8125 , 5.25
28231708  , 0.98888886 , -0.17916667 , -0.043055557    , 0.0 , 0.0 , -1.0    ,40.5 , -26.8125 , 5.25
213415  , 0.98888886 , -0.17916667 , -0.043055557    , 0.0 , 0.0 , -1.0    ,40.75 , -26.3125 , 5.5
2439024  , 0.98888886 , -0.16805556 , -0.047222223    , 0.0 , 0.0 , -1.0    ,40.75 , -26.3125 , 5.5
274391  , 0.98888886 , -0.16805556 , -0.047222223    , 0.0 , 0.0 , -1.0    ,41.0 , -26.0625 , 5.5
62225610  , 0.97638893 , -0.17638889 , -0.0625    , 0.0 , 0.0 , -1.0    ,41.0 , -26.0625 , 5.5
182927  , 0.97638893 , -0.17638889 , -0.0625    , 0.0 , 0.0 , -1.0    ,41.0 , -26.3125 , 6.0
25640244  , 0.95694447 , -0.1875 , -0.07361111    , 0.0 , 0.0 , -1.0    ,41.0 , -26.3125 , 6.0
213414  , 0.95694447 , -0.1875 , -0.07361111    , 0.0 , 0.0 , -1.0    ,40.75 , -26.5625 , 6.25
27926829  , 0.97638893 , -0.21527778 , -0.054166667    , 0.0 , 0.0 , -1.0    ,40.75 , -26.5625 , 6.25
2591463  , 0.97638893 , -0.21527778 , -0.054166667    , 0.0 , 0.0 , -1.0    ,40.25 , -26.5625 , 6.75
22560975  , 0.9652778 , -0.25416666 , -0.03888889    , 0.0 , 0.0 , -1.0    ,40.25 , -26.5625 , 6.75
213415  , 0.9652778 , -0.25416666 , -0.03888889    , 0.0 , 0.0 , -1.0    ,40.25 , -27.0625 , 7.4375
28170731  , 0.9333334 , -0.25833333 , -0.047222223    , 0.0 , 0.0 , -1.0    ,40.25 , -27.0625 , 7.4375
213415  , 0.9333334 , -0.25833333 , -0.047222223    , 0.0 , 0.0 , -1.0    ,40.75 , -26.8125 , 7.6875
20762195  , 0.9333334 , -0.26527777 , -0.047222223    , 0.0 , 0.0 , -1.0    ,40.75 , -26.8125 , 7.6875
182927  , 0.9333334 , -0.26527777 , -0.047222223    , 0.0 , 0.0 , -1.0    ,40.25 , -26.8125 , 8.6875
45274390  , 0.95694447 , -0.25833333 , -0.05138889    , 0.0 , 0.0 , -1.0    ,40.25 , -26.8125 , 8.6875
243903  , 0.95694447 , -0.25833333 , -0.05138889    , 0.0 , 0.0 , -1.0    ,41.0 , -26.8125 , 8.9375
23628049  , 0.9805556 , -0.23055556 , -0.05138889    , 0.0 , 0.0 , -1.0    ,41.0 , -26.8125 , 8.9375
1798780  , 0.9805556 , -0.23055556 , -0.05138889    , 0.0 , 0.0 , -1.0    ,40.75 , -26.3125 , 8.9375
22225609  , 0.9847223 , -0.21527778 , -0.054166667    , 0.0 , 0.0 , -1.0    ,40.75 , -26.3125 , 8.9375
213414  , 0.9847223 , -0.21527778 , -0.054166667    , 0.0 , 0.0 , -1.0    ,40.5 , -26.8125 , 8.4375
39664634  , 0.98888886 , -0.19583334 , -0.05138889    , 0.0 , 0.0 , -1.0    ,40.5 , -26.8125 , 8.4375
213415  , 0.98888886 , -0.19583334 , -0.05138889    , 0.0 , 0.0 , -1.0    ,41.0 , -26.3125 , 8.1875
18506098  , 0.97638893 , -0.15694445 , -0.0625    , 0.0 , 0.0 , -1.0    ,41.0 , -26.3125 , 8.1875
213414  , 0.97638893 , -0.15694445 , -0.0625    , 0.0 , 0.0 , -1.0    ,40.75 , -26.0625 , 7.9375
36646341  , 0.9847223 , -0.125 , -0.0625    , 0.0 , 0.0 , -1.0    ,40.75 , -26.0625 , 7.9375
335365  , 0.9847223 , -0.125 , -0.0625    , 0.0 , 0.0 , -1.0    ,41.25 , -25.8125 , 8.1875
