time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
17550000  , 0.90909094 , -0.18627451 , -0.26168224    , 1080.3096 , 669.0433 , -604.4177    ,0.0 , 0.0 , 0.0
3662000  , 0.969697 , -0.1764706 , -0.18691589    , 1080.3062 , 669.0329 , -604.4242    ,0.0 , 0.0 , 0.0
17550000  , 0.959596 , -0.16666667 , -0.18691589    , 1080.3783 , 668.9449 , -604.48376    ,0.0 , 0.0 , 0.0
2437000  , 0.94949496 , -0.13725491 , -0.18691589    , 1080.4186 , 668.92694 , -604.4937    ,0.0 , 0.0 , 0.0
17551000  , 0.93939394 , -0.12745099 , -0.1495327    , 1080.6678 , 668.8333 , -604.54694    ,0.0 , 0.0 , 0.0
2492000  , 0.93939394 , -0.09803922 , -0.1495327    , 1080.7207 , 668.81885 , -604.5585    ,0.0 , 0.0 , 0.0
17512000  , 0.94949496 , -0.0882353 , -0.1495327    , 1081.0764 , 668.73425 , -604.6399    ,0.0 , 0.0 , 0.0
2462000  , 0.959596 , -0.0882353 , -0.1495327    , 1081.1443 , 668.72076 , -604.65875    ,0.0 , 0.0 , 0.0
17533000  , 0.959596 , -0.0882353 , -0.1495327    , 1081.5365 , 668.6548 , -604.7793    ,0.0 , 0.0 , 0.0
4011000  , 0.959596 , -0.068627454 , -0.18691589    , 1081.6053 , 668.645 , -604.8018    ,0.0 , 0.0 , 0.0
17785000  , 0.97979796 , -0.068627454 , -0.18691589    , 1081.8842 , 668.6239 , -604.8917    ,0.0 , 0.0 , 0.0
1892000  , 1.0 , -0.0882353 , -0.18691589    , 1081.9484 , 668.6239 , -604.91327    ,0.0 , 0.0 , 0.0
17567000  , 1.0 , -0.05882353 , -0.1495327    , 1082.559 , 668.695 , -605.1123    ,0.0 , 0.0 , 0.0
2463000  , 1.0 , -0.04901961 , -0.1495327    , 1082.6383 , 668.7111 , -605.1345    ,0.0 , 0.0 , 0.0
17526000  , 0.989899 , -0.068627454 , -0.26168224    , 1083.1324 , 668.8464 , -605.24414    ,0.0 , 0.0 , 0.0
2477000  , 1.060606 , 0.009803922 , -0.037383176    , 1083.228 , 668.8773 , -605.2611    ,0.0 , 0.0 , 0.0
17533000  , 1.010101 , 0.009803922 , -0.11214953    , 1083.9344 , 669.1011 , -605.3746    ,0.0 , 0.0 , 0.0
3684000  , 1.030303 , 0.039215688 , -0.1495327    , 1084.0453 , 669.1581 , -605.3876    ,0.0 , 0.0 , 0.0
17556000  , 1.0707071 , 0.0882353 , -0.07476635    , 1084.5078 , 669.4158 , -605.4621    ,0.0 , 0.0 , 0.0
2450000  , 1.1010101 , 0.15686275 , -0.07476635    , 1084.6139 , 669.477 , -605.4782    ,0.0 , 0.0 , 0.0
17517000  , 1.080808 , 0.15686275 , -0.11214953    , 1085.4062 , 670.07025 , -605.6032    ,0.0 , 0.0 , 0.0
2475000  , 1.1010101 , 0.14705883 , -0.11214953    , 1085.4896 , 670.138 , -605.62146    ,0.0 , 0.0 , 0.0
17577000  , 1.1313131 , 0.15686275 , -0.1495327    , 1086.3964 , 670.7274 , -605.8455    ,0.0 , 0.0 , 0.0
2514000  , 1.1313131 , 0.12745099 , -0.1495327    , 1086.5116 , 670.7867 , -605.8774    ,0.0 , 0.0 , 0.0
17521000  , 1.1313131 , 0.09803922 , -0.11214953    , 1087.702 , 671.2444 , -606.211    ,0.0 , 0.0 , 0.0
3699000  , 1.1313131 , 0.10784314 , -0.07476635    , 1087.8632 , 671.2868 , -606.25323    ,0.0 , 0.0 , 0.0
17522000  , 1.1414142 , 0.15686275 , -0.037383176    , 1088.9767 , 671.4669 , -606.51605    ,0.0 , 0.0 , 0.0
2462000  , 1.1515151 , 0.16666667 , 0.0    , 1089.1814 , 671.48553 , -606.55835    ,0.0 , 0.0 , 0.0
17514000  , 1.1717172 , 0.14705883 , 0.07476635    , 1091.1392 , 671.5519 , -606.89874    ,0.0 , 0.0 , 0.0
2475000  , 1.1919192 , 0.19607843 , 0.07476635    , 1091.3646 , 671.5495 , -606.9325    ,0.0 , 0.0 , 0.0
17526000  , 1.2121212 , 0.16666667 , 0.07476635    , 1093.4435 , 671.4736 , -607.1594    ,0.0 , 0.0 , 0.0
2453000  , 1.1919192 , 0.16666667 , 0.11214953    , 1093.6791 , 671.4599 , -607.1754    ,0.0 , 0.0 , 0.0
17594000  , 1.1717172 , 0.16666667 , 0.1495327    , 1095.8492 , 671.32623 , -607.24274    ,0.0 , 0.0 , 0.0
3700000  , 1.1717172 , 0.14705883 , 0.18691589    , 1096.0934 , 671.3116 , -607.24274    ,0.0 , 0.0 , 0.0
17536000  , 1.1515151 , 0.15686275 , 0.18691589    , 1097.1963 , 671.22076 , -607.223    ,0.0 , 0.0 , 0.0
2410000  , 1.1515151 , 0.13725491 , 0.22429906    , 1097.4598 , 671.196 , -607.21204    ,0.0 , 0.0 , 0.0
17591000  , 1.1313131 , 0.14705883 , 0.26168224    , 1098.9663 , 671.02734 , -607.12164    ,0.0 , 0.0 , 0.0
2408000  , 1.1414142 , 0.16666667 , 0.22429906    , 1099.2312 , 670.9935 , -607.10187    ,0.0 , 0.0 , 0.0
17560000  , 1.1515151 , 0.15686275 , 0.18691589    , 1100.7024 , 670.7679 , -606.9538    ,0.0 , 0.0 , 0.0
