time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
101463415  , 0.047222223 , 0.7388889 , 0.72222227    , 0.0 , 0.0 , -1.0    ,20.1875 , 30.125 , -27.8125
5182927  , 0.047222223 , 0.7388889 , 0.72222227    , 0.0 , 0.0 , -1.0    ,20.1875 , 30.625 , -28.3125
243902  , 0.054166667 , 0.73472226 , 0.7263889    , 0.0 , 0.0 , -1.0    ,20.1875 , 30.625 , -28.3125
182926  , 0.054166667 , 0.73472226 , 0.7263889    , 0.0 , 0.0 , -1.0    ,20.1875 , 30.625 , -28.5625
42621951  , 0.054166667 , 0.73055553 , 0.72222227    , 0.0 , 0.0 , -1.0    ,20.1875 , 30.625 , -28.5625
213415  , 0.054166667 , 0.73055553 , 0.72222227    , 0.0 , 0.0 , -1.0    ,20.4375 , 30.625 , -28.5625
32042683  , 0.047222223 , 0.7263889 , 0.72222227    , 0.0 , 0.0 , -1.0    ,20.4375 , 30.625 , -28.5625
213415  , 0.047222223 , 0.7263889 , 0.72222227    , 0.0 , 0.0 , -1.0    ,19.9375 , 30.125 , -29.0625
35182927  , 0.05138889 , 0.7388889 , 0.7152778    , 0.0 , 0.0 , -1.0    ,19.9375 , 30.125 , -29.0625
274390  , 0.05138889 , 0.7388889 , 0.7152778    , 0.0 , 0.0 , -1.0    ,19.9375 , 30.125 , -29.25
30975610  , 0.05138889 , 0.73472226 , 0.71944445    , 0.0 , 0.0 , -1.0    ,19.9375 , 30.125 , -29.25
335366  , 0.05138889 , 0.73472226 , 0.71944445    , 0.0 , 0.0 , -1.0    ,20.1875 , 30.125 , -29.0625
29725610  , 0.0625 , 0.73472226 , 0.71944445    , 0.0 , 0.0 , -1.0    ,20.1875 , 30.125 , -29.0625
213415  , 0.0625 , 0.73472226 , 0.71944445    , 0.0 , 0.0 , -1.0    ,20.1875 , 29.875 , -29.0625
28018293  , 0.054166667 , 0.73472226 , 0.71944445    , 0.0 , 0.0 , -1.0    ,20.1875 , 29.875 , -29.0625
243903  , 0.054166667 , 0.73472226 , 0.71944445    , 0.0 , 0.0 , -1.0    ,20.6875 , 29.875 , -28.0625
25335366  , 0.05138889 , 0.73472226 , 0.7263889    , 0.0 , 0.0 , -1.0    ,20.6875 , 29.875 , -28.0625
243903  , 0.05138889 , 0.73472226 , 0.7263889    , 0.0 , 0.0 , -1.0    ,20.9375 , 29.375 , -27.5625
30274390  , 0.047222223 , 0.7416667 , 0.7263889    , 0.0 , 0.0 , -1.0    ,20.9375 , 29.375 , -27.5625
23719513  , 0.047222223 , 0.7416667 , 0.7263889    , 0.0 , 0.0 , -1.0    ,21.1875 , 29.375 , -27.3125
20121951  , 0.05138889 , 0.7416667 , 0.7152778    , 0.0 , 0.0 , -1.0    ,21.1875 , 29.375 , -27.3125
8597561  , 0.05138889 , 0.7416667 , 0.7152778    , 0.0 , 0.0 , -1.0    ,21.4375 , 30.125 , -27.3125
20121952  , 0.034722224 , 0.72222227 , 0.69166666    , 0.0 , 0.0 , -1.0    ,21.4375 , 30.125 , -27.3125
2957317  , 0.034722224 , 0.72222227 , 0.69166666    , 0.0 , 0.0 , -1.0    ,21.6875 , 30.375 , -27.8125
36189024  , 0.03888889 , 0.7027778 , 0.69861114    , 0.0 , 0.0 , -1.0    ,21.6875 , 30.375 , -27.8125
213415  , 0.03888889 , 0.7027778 , 0.69861114    , 0.0 , 0.0 , -1.0    ,21.4375 , 30.625 , -27.8125
27347561  , -0.043055557 , 0.7152778 , 0.70694447    , 0.0 , 0.0 , -1.0    ,21.4375 , 30.625 , -27.8125
213415  , -0.043055557 , 0.7152778 , 0.70694447    , 0.0 , 0.0 , -1.0    ,21.4375 , 30.625 , -28.3125
40304878  , -0.08611111 , 0.7152778 , 0.6875    , 0.0 , 0.0 , -1.0    ,21.4375 , 30.625 , -28.3125
3993903  , -0.08611111 , 0.7152778 , 0.6875    , 0.0 , 0.0 , -1.0    ,21.1875 , 30.625 , -27.8125
18810976  , -0.17222223 , 0.73055553 , 0.6763889    , 0.0 , 0.0 , -1.0    ,21.1875 , 30.625 , -27.8125
213415  , -0.17222223 , 0.73055553 , 0.6763889    , 0.0 , 0.0 , -1.0    ,20.6875 , 31.125 , -27.0625
25274391  , -0.25 , 0.7263889 , 0.6680556    , 0.0 , 0.0 , -1.0    ,20.6875 , 31.125 , -27.0625
213415  , -0.25 , 0.7263889 , 0.6680556    , 0.0 , 0.0 , -1.0    ,20.4375 , 31.625 , -26.8125
36371951  , -0.2777778 , 0.7416667 , 0.68333334    , 0.0 , 0.0 , -1.0    ,20.4375 , 31.625 , -26.8125
182927  , -0.2777778 , 0.7416667 , 0.68333334    , 0.0 , 0.0 , -1.0    ,19.6875 , 32.3125 , -26.375
35487805  , -0.25 , 0.78472227 , 0.6875    , 0.0 , 0.0 , -1.0    ,19.6875 , 32.3125 , -26.375
182927  , -0.25 , 0.78472227 , 0.6875    , 0.0 , 0.0 , -1.0    ,18.9375 , 33.3125 , -26.375
27378049  , -0.23055556 , 0.81666666 , 0.65694445    , 0.0 , 0.0 , -1.0    ,18.9375 , 33.3125 , -26.375
213415  , -0.23055556 , 0.81666666 , 0.65694445    , 0.0 , 0.0 , -1.0    ,18.125 , 33.8125 , -26.125
36371951  , -0.23472224 , 0.83194447 , 0.6597222    , 0.0 , 0.0 , -1.0    ,18.125 , 33.8125 , -26.125
182927  , -0.23472224 , 0.83194447 , 0.6597222    , 0.0 , 0.0 , -1.0    ,17.375 , 34.5625 , -25.375
51737805  , -0.23472224 , 0.8430556 , 0.6680556    , 0.0 , 0.0 , -1.0    ,17.375 , 34.5625 , -25.375
243902  , -0.23472224 , 0.8430556 , 0.6680556    , 0.0 , 0.0 , -1.0    ,16.625 , 35.0625 , -23.875
35213415  , -0.24583335 , 0.8513889 , 0.6791667    , 0.0 , 0.0 , -1.0    ,16.625 , 35.0625 , -23.875
1250000  , -0.24583335 , 0.8513889 , 0.6791667    , 0.0 , 0.0 , -1.0    ,16.125 , 35.8125 , -23.1875
27317073  , -0.2847222 , 0.8513889 , 0.6958334    , 0.0 , 0.0 , -1.0    ,16.125 , 35.8125 , -23.1875
213414  , -0.2847222 , 0.8513889 , 0.6958334    , 0.0 , 0.0 , -1.0    ,15.375 , 37.5625 , -22.4375
40091463  , -0.25833333 , 0.81666666 , 0.72222227    , 0.0 , 0.0 , -1.0    ,15.375 , 37.5625 , -22.4375
274390  , -0.25833333 , 0.81666666 , 0.72222227    , 0.0 , 0.0 , -1.0    ,14.0625 , 38.5625 , -21.4375
30060975  , -0.23472224 , 0.80833334 , 0.73055553    , 0.0 , 0.0 , -1.0    ,14.0625 , 38.5625 , -21.4375
304879  , -0.23472224 , 0.80833334 , 0.73055553    , 0.0 , 0.0 , -1.0    ,12.8125 , 39.25 , -21.1875
23658536  , -0.22222224 , 0.7777778 , 0.79305553    , 0.0 , 0.0 , -1.0    ,12.8125 , 39.25 , -21.1875
243903  , -0.22222224 , 0.7777778 , 0.79305553    , 0.0 , 0.0 , -1.0    ,11.3125 , 39.75 , -20.75
23170732  , -0.21111113 , 0.79305553 , 0.8361111    , 0.0 , 0.0 , -1.0    ,11.3125 , 39.75 , -20.75
213415  , -0.21111113 , 0.79305553 , 0.8361111    , 0.0 , 0.0 , -1.0    ,10.0 , 39.5 , -20.5
44085366  , -0.23055556 , 0.7972222 , 0.86388886    , 0.0 , 0.0 , -1.0    ,10.0 , 39.5 , -20.5
274390  , -0.23055556 , 0.7972222 , 0.86388886    , 0.0 , 0.0 , -1.0    ,9.5 , 39.75 , -21.1875
18871952  , -0.29305556 , 0.7777778 , 0.9652778    , 0.0 , 0.0 , -1.0    ,9.5 , 39.75 , -21.1875
213415  , -0.29305556 , 0.7777778 , 0.9652778    , 0.0 , 0.0 , -1.0    ,8.25 , 39.75 , -22.1875
22987805  , -0.36666667 , 0.7652778 , 0.99583334    , 0.0 , 0.0 , -1.0    ,8.25 , 39.75 , -22.1875
213414  , -0.36666667 , 0.7652778 , 0.99583334    , 0.0 , 0.0 , -1.0    ,6.75 , 39.5 , -22.9375
31219512  , -0.42916667 , 0.6791667 , 1.0083333    , 0.0 , 0.0 , -1.0    ,6.75 , 39.5 , -22.9375
243903  , -0.42916667 , 0.6791667 , 1.0083333    , 0.0 , 0.0 , -1.0    ,5.6875 , 39.0625 , -24.125
21890244  , -0.39444447 , 0.6486111 , 0.97222227    , 0.0 , 0.0 , -1.0    ,5.6875 , 39.0625 , -24.125
213414  , -0.39444447 , 0.6486111 , 0.97222227    , 0.0 , 0.0 , -1.0    ,3.9375 , 37.8125 , -25.875
40487805  , -0.25416666 , 0.6291667 , 1.0194445    , 0.0 , 0.0 , -1.0    ,3.9375 , 37.8125 , -25.875
335366  , -0.25416666 , 0.6291667 , 1.0194445    , 0.0 , 0.0 , -1.0    ,2.9375 , 36.8125 , -27.3125
