time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
3901000  , 0.05050505 , 0.8039216 , 0.8598131    , 313.21655 , 209.89323 , -243.26295    ,0.0 , 0.0 , 0.0
17397000  , 0.11111111 , 0.74509805 , 0.635514    , 313.1223 , 209.91199 , -243.11198    ,0.0 , 0.0 , 0.0
2432000  , 0.07070707 , 0.6862745 , 0.6728972    , 313.07822 , 209.9164 , -243.07443    ,0.0 , 0.0 , 0.0
17499000  , 0.09090909 , 0.7352941 , 0.6728972    , 312.8987 , 209.95805 , -242.80841    ,0.0 , 0.0 , 0.0
2497000  , 0.11111111 , 0.7352941 , 0.6728972    , 312.87317 , 209.96394 , -242.76768    ,0.0 , 0.0 , 0.0
17557000  , 0.09090909 , 0.75490195 , 0.6728972    , 312.75458 , 210.0101 , -242.52602    ,0.0 , 0.0 , 0.0
2454000  , 0.13131313 , 0.78431374 , 0.6728972    , 312.73636 , 210.01767 , -242.48506    ,0.0 , 0.0 , 0.0
17544000  , 0.121212125 , 0.75490195 , 0.71028036    , 312.6479 , 210.08691 , -242.27353    ,0.0 , 0.0 , 0.0
2486000  , 0.14141414 , 0.75490195 , 0.71028036    , 312.62933 , 210.10207 , -242.23914    ,0.0 , 0.0 , 0.0
17466000  , 0.14141414 , 0.7647059 , 0.74766356    , 312.49664 , 210.19373 , -242.0558    ,0.0 , 0.0 , 0.0
3622000  , 0.17171717 , 0.7352941 , 0.74766356    , 312.4653 , 210.21115 , -242.02515    ,0.0 , 0.0 , 0.0
17700000  , 0.16161616 , 0.6960784 , 0.635514    , 312.30136 , 210.27077 , -241.90688    ,0.0 , 0.0 , 0.0
2423000  , 0.21212122 , 0.7352941 , 0.6728972    , 312.25928 , 210.28763 , -241.8769    ,0.0 , 0.0 , 0.0
17559000  , 0.13131313 , 0.7745098 , 0.635514    , 312.08173 , 210.3639 , -241.71344    ,0.0 , 0.0 , 0.0
2420000  , 0.15151516 , 0.78431374 , 0.5607477    , 312.06714 , 210.376 , -241.68222    ,0.0 , 0.0 , 0.0
17619000  , 0.13131313 , 0.7647059 , 0.6728972    , 312.0492 , 210.376 , -241.57452    ,0.0 , 0.0 , 0.0
2438000  , 0.18181819 , 0.78431374 , 0.635514    , 312.06784 , 210.376 , -241.55563    ,0.0 , 0.0 , 0.0
17372000  , 0.16161616 , 0.75490195 , 0.635514    , 312.23453 , 210.32088 , -241.46461    ,0.0 , 0.0 , 0.0
2629000  , 0.14141414 , 0.74509805 , 0.635514    , 312.2635 , 210.32224 , -241.4421    ,0.0 , 0.0 , 0.0
17522000  , 0.14141414 , 0.75490195 , 0.635514    , 312.44937 , 210.32224 , -241.30428    ,0.0 , 0.0 , 0.0
3564000  , 0.121212125 , 0.7941176 , 0.6728972    , 312.49258 , 210.32451 , -241.27849    ,0.0 , 0.0 , 0.0
17595000  , 0.08080808 , 0.7941176 , 0.6728972    , 312.682 , 210.33748 , -241.14291    ,0.0 , 0.0 , 0.0
2473000  , 0.08080808 , 0.7941176 , 0.6728972    , 312.72195 , 210.34186 , -241.11171    ,0.0 , 0.0 , 0.0
17513000  , 0.09090909 , 0.7941176 , 0.6728972    , 313.09024 , 210.43706 , -240.8271    ,0.0 , 0.0 , 0.0
2730000  , 0.11111111 , 0.7941176 , 0.6728972    , 313.1301 , 210.44731 , -240.79633    ,0.0 , 0.0 , 0.0
17260000  , 0.1010101 , 0.7745098 , 0.6728972    , 313.45413 , 210.57423 , -240.49632    ,0.0 , 0.0 , 0.0
2603000  , 0.1010101 , 0.7941176 , 0.6728972    , 313.4895 , 210.5893 , -240.46086    ,0.0 , 0.0 , 0.0
