time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ 
62682927  , -0.034722224 , -0.9611111 , 0.37083334    , 0.0 , 0.0 , -1.0    ,4.75 , -48.25 , 5.5625
39817073  , -0.031944446 , -0.9652778 , 0.35972223    , 0.0 , 0.0 , -1.0    ,4.75 , -48.25 , 5.5625
182927  , -0.031944446 , -0.9652778 , 0.35972223    , 0.0 , 0.0 , -1.0    ,4.5 , -48.5 , 6.0625
29542683  , -0.034722224 , -0.96944445 , 0.36666667    , 0.0 , 0.0 , -1.0    ,4.5 , -48.5 , 6.0625
6219513  , -0.034722224 , -0.96944445 , 0.36666667    , 0.0 , 0.0 , -1.0    ,5.25 , -48.25 , 6.0625
22957317  , -0.034722224 , -0.9652778 , 0.35972223    , 0.0 , 0.0 , -1.0    ,5.25 , -48.25 , 6.0625
182927  , -0.034722224 , -0.9652778 , 0.35972223    , 0.0 , 0.0 , -1.0    ,6.0 , -48.25 , 6.3125
30030488  , -0.02777778 , -0.97222227 , 0.35972223    , 0.0 , 0.0 , -1.0    ,6.0 , -48.25 , 6.3125
213415  , -0.02777778 , -0.97222227 , 0.35972223    , 0.0 , 0.0 , -1.0    ,6.0 , -48.5 , 6.0625
30304878  , -0.023611112 , -0.97638893 , 0.375    , 0.0 , 0.0 , -1.0    ,6.0 , -48.5 , 6.0625
213415  , -0.023611112 , -0.97638893 , 0.375    , 0.0 , 0.0 , -1.0    ,6.5625 , -48.5 , 5.5625
45914634  , -0.02777778 , -0.96944445 , 0.37916666    , 0.0 , 0.0 , -1.0    ,6.5625 , -48.5 , 5.5625
3932926  , -0.02777778 , -0.96944445 , 0.37916666    , 0.0 , 0.0 , -1.0    ,6.3125 , -48.5 , 5.3125
23993903  , -0.03888889 , -0.9652778 , 0.34722224    , 0.0 , 0.0 , -1.0    ,6.3125 , -48.5 , 5.3125
213414  , -0.03888889 , -0.9652778 , 0.34722224    , 0.0 , 0.0 , -1.0    ,5.5 , -48.75 , 4.5625
26920732  , -0.043055557 , -0.9527778 , 0.37083334    , 0.0 , 0.0 , -1.0    ,5.5 , -48.75 , 4.5625
213415  , -0.043055557 , -0.9527778 , 0.37083334    , 0.0 , 0.0 , -1.0    ,5.25 , -48.75 , 4.3125
