time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
75792683  , -0.4486111 , -0.63611114 , 0.67222226    , 0.0 , 0.0 , -1.0    ,-26.0625 , -34.9375 , -10.25
213415  , -0.4486111 , -0.63611114 , 0.67222226    , 0.0 , 0.0 , -1.0    ,-26.3125 , -35.4375 , -9.75
30060976  , -0.46111113 , -0.6486111 , 0.6763889    , 0.0 , 0.0 , -1.0    ,-26.3125 , -35.4375 , -9.75
213415  , -0.46111113 , -0.6486111 , 0.6763889    , 0.0 , 0.0 , -1.0    ,-26.8125 , -35.4375 , -9.3125
30182927  , -0.46944448 , -0.64444447 , 0.6597222    , 0.0 , 0.0 , -1.0    ,-26.8125 , -35.4375 , -9.3125
213415  , -0.46944448 , -0.64444447 , 0.6597222    , 0.0 , 0.0 , -1.0    ,-26.8125 , -35.4375 , -9.5625
30274390  , -0.46111113 , -0.6638889 , 0.6486111    , 0.0 , 0.0 , -1.0    ,-26.8125 , -35.4375 , -9.5625
182927  , -0.46111113 , -0.6638889 , 0.6486111    , 0.0 , 0.0 , -1.0    ,-27.375 , -34.9375 , -10.0
29725609  , -0.48472223 , -0.64444447 , 0.6486111    , 0.0 , 0.0 , -1.0    ,-27.375 , -34.9375 , -10.0
213414  , -0.48472223 , -0.64444447 , 0.6486111    , 0.0 , 0.0 , -1.0    ,-27.875 , -34.1875 , -9.5625
29390244  , -0.48888892 , -0.63611114 , 0.64444447    , 0.0 , 0.0 , -1.0    ,-27.875 , -34.1875 , -9.5625
4634146  , -0.48888892 , -0.63611114 , 0.64444447    , 0.0 , 0.0 , -1.0    ,-27.875 , -34.4375 , -9.75
24359757  , -0.4916667 , -0.63611114 , 0.6402778    , 0.0 , 0.0 , -1.0    ,-27.875 , -34.4375 , -9.75
182926  , -0.4916667 , -0.63611114 , 0.6402778    , 0.0 , 0.0 , -1.0    ,-27.875 , -33.9375 , -9.3125
25213415  , -0.50416666 , -0.625 , 0.63611114    , 0.0 , 0.0 , -1.0    ,-27.875 , -33.9375 , -9.3125
213414  , -0.50416666 , -0.625 , 0.63611114    , 0.0 , 0.0 , -1.0    ,-28.125 , -33.6875 , -8.3125
44512195  , -0.50416666 , -0.6333333 , 0.6291667    , 0.0 , 0.0 , -1.0    ,-28.125 , -33.6875 , -8.3125
243903  , -0.50416666 , -0.6333333 , 0.6291667    , 0.0 , 0.0 , -1.0    ,-28.125 , -33.9375 , -8.5625
45426830  , -0.5083333 , -0.62083334 , 0.62083334    , 0.0 , 0.0 , -1.0    ,-28.125 , -33.9375 , -8.5625
213414  , -0.5083333 , -0.62083334 , 0.62083334    , 0.0 , 0.0 , -1.0    ,-28.125 , -33.4375 , -8.3125
43689024  , -0.51111114 , -0.5972222 , 0.61388886    , 0.0 , 0.0 , -1.0    ,-28.125 , -33.4375 , -8.3125
365854  , -0.51111114 , -0.5972222 , 0.61388886    , 0.0 , 0.0 , -1.0    ,-28.875 , -33.1875 , -7.0625
4146342  , -0.51111114 , -0.60138893 , 0.61388886    , 0.0 , 0.0 , -1.0    ,-28.875 , -33.1875 , -7.0625
243903  , -0.51111114 , -0.60138893 , 0.61388886    , 0.0 , 0.0 , -1.0    ,-29.625 , -32.9375 , -7.3125
30060976  , -0.5236111 , -0.62083334 , 0.6166667    , 0.0 , 0.0 , -1.0    ,-29.625 , -32.9375 , -7.3125
213415  , -0.5236111 , -0.62083334 , 0.6166667    , 0.0 , 0.0 , -1.0    ,-29.875 , -32.6875 , -6.875
29695122  , -0.54305553 , -0.6486111 , 0.6333333    , 0.0 , 0.0 , -1.0    ,-29.875 , -32.6875 , -6.875
182927  , -0.54305553 , -0.6486111 , 0.6333333    , 0.0 , 0.0 , -1.0    ,-30.375 , -32.4375 , -6.375
182927  , -0.5625 , -0.6486111 , 0.6166667    , 0.0 , 0.0 , -1.0    ,-30.375 , -32.4375 , -6.375
213414  , -0.5625 , -0.6486111 , 0.6166667    , 0.0 , 0.0 , -1.0    ,-30.625 , -32.4375 , -6.875
