time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
3604000  , -0.1010101 , -0.5686275 , 0.74766356    , 7681.471 , -3729.9543 , 918.4486    ,0.0 , 0.0 , 0.0
17680000  , -0.08080808 , -0.5882353 , 0.74766356    , 7681.31 , -3730.078 , 918.9018    ,0.0 , 0.0 , 0.0
2422000  , -0.14141414 , -0.57843137 , 0.78504676    , 7681.2896 , -3730.1086 , 918.97894    ,0.0 , 0.0 , 0.0
17530000  , -0.2020202 , -0.5980392 , 0.78504676    , 7681.2417 , -3730.3345 , 919.79913    ,0.0 , 0.0 , 0.0
2508000  , -0.24242425 , -0.60784316 , 0.78504676    , 7681.2417 , -3730.3542 , 919.8863    ,0.0 , 0.0 , 0.0
17558000  , -0.26262626 , -0.60784316 , 0.78504676    , 7681.2417 , -3730.4697 , 920.54205    ,0.0 , 0.0 , 0.0
3687000  , -0.26262626 , -0.5882353 , 0.78504676    , 7681.2437 , -3730.4756 , 920.5974    ,0.0 , 0.0 , 0.0
17546000  , -0.26262626 , -0.57843137 , 0.78504676    , 7681.2437 , -3730.4822 , 920.7633    ,0.0 , 0.0 , 0.0
2462000  , -0.26262626 , -0.5686275 , 0.78504676    , 7681.2437 , -3730.4788 , 920.78613    ,0.0 , 0.0 , 0.0
17509000  , -0.24242425 , -0.5588235 , 0.78504676    , 7681.2437 , -3730.4531 , 920.8515    ,0.0 , 0.0 , 0.0
2454000  , -0.22222222 , -0.5392157 , 0.74766356    , 7681.2466 , -3730.446 , 920.85455    ,0.0 , 0.0 , 0.0
17570000  , -0.22222222 , -0.5686275 , 0.78504676    , 7681.345 , -3730.3325 , 920.8777    ,0.0 , 0.0 , 0.0
2440000  , -0.21212122 , -0.5392157 , 0.78504676    , 7681.362 , -3730.3118 , 920.8827    ,0.0 , 0.0 , 0.0
17537000  , -0.1919192 , -0.5392157 , 0.78504676    , 7681.5337 , -3730.0396 , 920.9721    ,0.0 , 0.0 , 0.0
3739000  , -0.15151516 , -0.5392157 , 0.71028036    , 7681.5566 , -3730.0017 , 920.9895    ,0.0 , 0.0 , 0.0
17530000  , -0.08080808 , -0.50980395 , 0.74766356    , 7681.6753 , -3729.8127 , 921.1073    ,0.0 , 0.0 , 0.0
2432000  , -0.11111111 , -0.46078432 , 0.78504676    , 7681.721 , -3729.7695 , 921.1501    ,0.0 , 0.0 , 0.0
17518000  , -0.13131313 , -0.43137255 , 0.74766356    , 7682.0996 , -3729.481 , 921.50586    ,0.0 , 0.0 , 0.0
2450000  , -0.11111111 , -0.43137255 , 0.78504676    , 7682.1763 , -3729.4307 , 921.5816    ,0.0 , 0.0 , 0.0
17577000  , -0.13131313 , -0.4117647 , 0.89719623    , 7682.7007 , -3729.148 , 922.1015    ,0.0 , 0.0 , 0.0
2431000  , -0.14141414 , -0.39215687 , 0.93457943    , 7682.805 , -3729.0957 , 922.21326    ,0.0 , 0.0 , 0.0
17627000  , -0.2020202 , -0.39215687 , 0.97196263    , 7683.3403 , -3728.7578 , 922.93054    ,0.0 , 0.0 , 0.0
3548000  , -0.26262626 , -0.37254903 , 1.0093458    , 7683.419 , -3728.6924 , 923.0704    ,0.0 , 0.0 , 0.0
17612000  , -0.2929293 , -0.3529412 , 0.97196263    , 7683.7065 , -3728.3958 , 923.6954    ,0.0 , 0.0 , 0.0
2514000  , -0.3131313 , -0.3529412 , 0.93457943    , 7683.758 , -3728.3254 , 923.8455    ,0.0 , 0.0 , 0.0
17530000  , -0.32323232 , -0.3627451 , 0.89719623    , 7683.9478 , -3727.935 , 924.7167    ,0.0 , 0.0 , 0.0
2425000  , -0.3131313 , -0.3137255 , 0.8598131    , 7683.97 , -3727.8733 , 924.86633    ,0.0 , 0.0 , 0.0
17580000  , -0.3131313 , -0.33333334 , 0.8598131    , 7684.1357 , -3727.3628 , 926.2702    ,0.0 , 0.0 , 0.0
2519000  , -0.3131313 , -0.30392158 , 0.8224299    , 7684.154 , -3727.312 , 926.43695    ,0.0 , 0.0 , 0.0
17450000  , -0.35353535 , -0.32352942 , 0.8598131    , 7684.3076 , -3726.89 , 928.0648    ,0.0 , 0.0 , 0.0
2497000  , -0.37373737 , -0.27450982 , 0.8598131    , 7684.328 , -3726.8464 , 928.25726    ,0.0 , 0.0 , 0.0
17566000  , -0.43434343 , -0.27450982 , 0.93457943    , 7684.556 , -3726.507 , 930.11017    ,0.0 , 0.0 , 0.0
2414000  , -0.46464646 , -0.23529412 , 0.97196263    , 7684.58 , -3726.4727 , 930.3272    ,0.0 , 0.0 , 0.0
17512000  , -0.4848485 , -0.24509804 , 0.97196263    , 7684.658 , -3726.1785 , 932.33014    ,0.0 , 0.0 , 0.0
3637000  , -0.4949495 , -0.24509804 , 0.93457943    , 7684.6484 , -3726.1443 , 932.5544    ,0.0 , 0.0 , 0.0
17635000  , -0.5050505 , -0.18627451 , 0.8598131    , 7684.494 , -3725.964 , 933.9018    ,0.0 , 0.0 , 0.0
2457000  , -0.53535354 , -0.15686275 , 0.8224299    , 7684.4614 , -3725.9373 , 934.1293    ,0.0 , 0.0 , 0.0
17563000  , -0.5555556 , -0.12745099 , 0.8224299    , 7684.1816 , -3725.7324 , 936.2158    ,0.0 , 0.0 , 0.0
2466000  , -0.57575756 , -0.068627454 , 0.78504676    , 7684.161 , -3725.7136 , 936.4503    ,0.0 , 0.0 , 0.0
17447000  , -0.5858586 , -0.029411765 , 0.78504676    , 7684.065 , -3725.556 , 938.584    ,0.0 , 0.0 , 0.0
2503000  , -0.5858586 , 0.009803922 , 0.78504676    , 7684.068 , -3725.5393 , 938.82275    ,0.0 , 0.0 , 0.0
17539000  , -0.6262626 , 0.009803922 , 0.8224299    , 7684.2275 , -3725.3872 , 940.99774    ,0.0 , 0.0 , 0.0
2511000  , -0.6666667 , 0.0 , 0.8224299    , 7684.2563 , -3725.3704 , 941.2437    ,0.0 , 0.0 , 0.0
17494000  , -0.72727275 , -0.019607844 , 0.8224299    , 7684.55 , -3725.1753 , 943.4552    ,0.0 , 0.0 , 0.0
3630000  , -0.75757575 , -0.029411765 , 0.74766356    , 7684.582 , -3725.1497 , 943.69574    ,0.0 , 0.0 , 0.0
17651000  , -0.8181818 , -0.04901961 , 0.74766356    , 7684.7974 , -3724.949 , 945.04956    ,0.0 , 0.0 , 0.0
2422000  , -0.8787879 , -0.04901961 , 0.74766356    , 7684.8457 , -3724.9026 , 945.25385    ,0.0 , 0.0 , 0.0
17616000  , -0.97979796 , 0.009803922 , 0.71028036    , 7685.4355 , -3724.3457 , 946.83844    ,0.0 , 0.0 , 0.0
2402000  , -1.020202 , 0.019607844 , 0.6728972    , 7685.5156 , -3724.2695 , 946.98224    ,0.0 , 0.0 , 0.0
17518000  , -1.0404041 , 0.009803922 , 0.635514    , 7686.405 , -3723.5195 , 947.8784    ,0.0 , 0.0 , 0.0
