time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
62713414  , 0.011111111 , -1.0 , 0.101388894    , 0.0 , 0.0 , -1.0    ,15.75 , -43.4375 , 13.75
182927  , 0.011111111 , -1.0 , 0.101388894    , 0.0 , 0.0 , -1.0    ,16.0 , -43.4375 , 13.75
45274391  , 0.011111111 , -1.0 , 0.08611111    , 0.0 , 0.0 , -1.0    ,16.0 , -43.4375 , 13.75
5426829  , 0.011111111 , -1.0 , 0.08611111    , 0.0 , 0.0 , -1.0    ,16.0 , -42.6875 , 13.25
24512195  , 0.019444445 , -1.0 , 0.08611111    , 0.0 , 0.0 , -1.0    ,16.0 , -42.6875 , 13.25
213414  , 0.019444445 , -1.0 , 0.08611111    , 0.0 , 0.0 , -1.0    ,16.0 , -42.1875 , 13.25
30060975  , 0.019444445 , -1.0083333 , 0.094444446    , 0.0 , 0.0 , -1.0    ,16.0 , -42.1875 , 13.25
213415  , 0.019444445 , -1.0083333 , 0.094444446    , 0.0 , 0.0 , -1.0    ,16.0 , -42.1875 , 13.5
30030488  , 0.015277779 , -1.0041667 , 0.097222224    , 0.0 , 0.0 , -1.0    ,16.0 , -42.1875 , 13.5
243903  , 0.015277779 , -1.0041667 , 0.097222224    , 0.0 , 0.0 , -1.0    ,15.75 , -42.1875 , 13.75
23445122  , 0.011111111 , -1.0 , 0.08611111    , 0.0 , 0.0 , -1.0    ,15.75 , -42.1875 , 13.75
182926  , 0.011111111 , -1.0 , 0.08611111    , 0.0 , 0.0 , -1.0    ,15.5 , -42.4375 , 14.0
29969512  , 0.015277779 , -1.0041667 , 0.08611111    , 0.0 , 0.0 , -1.0    ,15.5 , -42.4375 , 14.0
213414  , 0.015277779 , -1.0041667 , 0.08611111    , 0.0 , 0.0 , -1.0    ,15.0 , -42.6875 , 13.75
29847561  , 0.015277779 , -1.0041667 , 0.08611111    , 0.0 , 0.0 , -1.0    ,15.0 , -42.9375 , 13.75
23536585  , 0.004166667 , -1.0041667 , 0.08611111    , 0.0 , 0.0 , -1.0    ,15.0 , -42.9375 , 13.75
426829  , 0.004166667 , -1.0041667 , 0.08611111    , 0.0 , 0.0 , -1.0    ,15.25 , -43.4375 , 13.75
38323171  , -0.004166667 , -0.9916667 , 0.07361111    , 0.0 , 0.0 , -1.0    ,15.25 , -43.4375 , 13.75
182927  , -0.004166667 , -0.9916667 , 0.07361111    , 0.0 , 0.0 , -1.0    ,15.25 , -43.1875 , 13.75
46463415  , -0.011111111 , -0.9847223 , 0.094444446    , 0.0 , 0.0 , -1.0    ,15.25 , -43.1875 , 13.75
182927  , -0.011111111 , -0.9847223 , 0.094444446    , 0.0 , 0.0 , -1.0    ,15.5 , -43.6875 , 13.75
29390244  , 0.0 , -0.98888886 , 0.097222224    , 0.0 , 0.0 , -1.0    ,15.5 , -43.6875 , 13.75
18628049  , 0.0 , -0.97222227 , 0.09027778    , 0.0 , 0.0 , -1.0    ,15.5 , -43.6875 , 13.75
182926  , 0.0 , -0.97222227 , 0.09027778    , 0.0 , 0.0 , -1.0    ,15.25 , -42.9375 , 13.5
26432927  , -0.008333334 , -0.9527778 , 0.0625    , 0.0 , 0.0 , -1.0    ,15.25 , -42.9375 , 13.5
213415  , -0.008333334 , -0.9527778 , 0.0625    , 0.0 , 0.0 , -1.0    ,15.5 , -43.4375 , 14.25
37896341  , 0.004166667 , -0.9611111 , 0.0625    , 0.0 , 0.0 , -1.0    ,15.5 , -43.4375 , 14.25
182926  , 0.004166667 , -0.9611111 , 0.0625    , 0.0 , 0.0 , -1.0    ,16.0 , -43.1875 , 14.75
34817073  , 0.0 , -0.9611111 , 0.07361111    , 0.0 , 0.0 , -1.0    ,16.0 , -43.1875 , 14.75
213415  , 0.0 , -0.9611111 , 0.07361111    , 0.0 , 0.0 , -1.0    ,16.0 , -42.9375 , 14.25
35426830  , -0.004166667 , -0.9180556 , 0.08194444    , 0.0 , 0.0 , -1.0    ,16.0 , -42.9375 , 14.25
182927  , -0.004166667 , -0.9180556 , 0.08194444    , 0.0 , 0.0 , -1.0    ,16.25 , -43.4375 , 14.5
27225610  , -0.008333334 , -0.89027786 , 0.07361111    , 0.0 , 0.0 , -1.0    ,16.25 , -43.4375 , 14.5
213415  , -0.008333334 , -0.89027786 , 0.07361111    , 0.0 , 0.0 , -1.0    ,16.0 , -43.1875 , 13.75
60823171  , 0.0 , -0.8944445 , 0.07777778    , 0.0 , 0.0 , -1.0    ,16.0 , -43.1875 , 13.75
7621951  , 0.0 , -0.8944445 , 0.07777778    , 0.0 , 0.0 , -1.0    ,16.0 , -42.9375 , 14.0
3536585  , 0.008333334 , -0.8597222 , 0.094444446    , 0.0 , 0.0 , -1.0    ,16.0 , -42.9375 , 14.0
304878  , 0.008333334 , -0.8597222 , 0.094444446    , 0.0 , 0.0 , -1.0    ,16.25 , -42.9375 , 14.0
30487805  , 0.0 , -0.80833334 , 0.11388889    , 0.0 , 0.0 , -1.0    ,16.25 , -42.9375 , 14.0
182927  , 0.0 , -0.80833334 , 0.11388889    , 0.0 , 0.0 , -1.0    ,16.5 , -42.4375 , 14.25
38750000  , 0.030555557 , -0.82361114 , 0.058333337    , 0.0 , 0.0 , -1.0    ,16.5 , -42.4375 , 14.25
213415  , 0.030555557 , -0.82361114 , 0.058333337    , 0.0 , 0.0 , -1.0    ,16.5 , -42.4375 , 14.75
27408537  , 0.019444445 , -0.86388886 , 0.07083333    , 0.0 , 0.0 , -1.0    ,16.5 , -42.4375 , 14.75
213415  , 0.019444445 , -0.86388886 , 0.07083333    , 0.0 , 0.0 , -1.0    ,16.25 , -42.1875 , 14.25
22804878  , -0.008333334 , -0.8833334 , 0.07361111    , 0.0 , 0.0 , -1.0    ,16.25 , -42.1875 , 14.25
182927  , -0.008333334 , -0.8833334 , 0.07361111    , 0.0 , 0.0 , -1.0    ,16.0 , -42.6875 , 14.25
42134147  , -0.011111111 , -0.8944445 , 0.0625    , 0.0 , 0.0 , -1.0    ,16.0 , -42.6875 , 14.25
1890244  , -0.011111111 , -0.8944445 , 0.0625    , 0.0 , 0.0 , -1.0    ,15.25 , -42.9375 , 13.75
22012195  , -0.034722224 , -0.9263889 , 0.0625    , 0.0 , 0.0 , -1.0    ,15.25 , -42.9375 , 13.75
182927  , -0.034722224 , -0.9263889 , 0.0625    , 0.0 , 0.0 , -1.0    ,15.5 , -42.9375 , 13.25
25670732  , -0.02777778 , -1.0083333 , -0.008333334    , 0.0 , 0.0 , -1.0    ,15.5 , -42.9375 , 13.25
243903  , -0.02777778 , -1.0083333 , -0.008333334    , 0.0 , 0.0 , -1.0    ,15.25 , -43.1875 , 13.75
43170732  , 0.0 , -1.0513889 , 0.047222223    , 0.0 , 0.0 , -1.0    ,15.25 , -43.1875 , 13.75
213414  , 0.0 , -1.0513889 , 0.047222223    , 0.0 , 0.0 , -1.0    ,15.25 , -42.6875 , 14.0
43993902  , 0.004166667 , -1.0666667 , 0.07361111    , 0.0 , 0.0 , -1.0    ,15.25 , -42.6875 , 14.0
213415  , 0.004166667 , -1.0666667 , 0.07361111    , 0.0 , 0.0 , -1.0    ,15.5 , -42.1875 , 14.5
24817073  , 0.023611112 , -1.0347222 , 0.0625    , 0.0 , 0.0 , -1.0    ,15.5 , -42.1875 , 14.5
182927  , 0.023611112 , -1.0347222 , 0.0625    , 0.0 , 0.0 , -1.0    ,15.25 , -41.9375 , 14.75
38567073  , 0.004166667 , -1.0152779 , 0.14861111    , 0.0 , 0.0 , -1.0    ,15.25 , -41.9375 , 14.75
1128049  , 0.004166667 , -1.0152779 , 0.14861111    , 0.0 , 0.0 , -1.0    ,15.25 , -41.9375 , 14.25
26463414  , 0.023611112 , -1.113889 , 0.20694445    , 0.0 , 0.0 , -1.0    ,15.25 , -41.9375 , 14.25
243903  , 0.023611112 , -1.113889 , 0.20694445    , 0.0 , 0.0 , -1.0    ,15.25 , -42.6875 , 14.5
