time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
20072000  , -0.04040404 , -1.0 , 0.0    , 1711.9751 , -1858.2257 , -11.0642395    ,0.0 , 0.0 , 0.0
1158000  , -0.02020202 , -1.0 , 0.0    , 1711.9698 , -1858.2302 , -11.067124    ,0.0 , 0.0 , 0.0
17587000  , -0.030303031 , -0.9607843 , 0.037383176    , 1711.9006 , -1858.336 , -11.1036625    ,0.0 , 0.0 , 0.0
2427000  , -0.030303031 , -0.9607843 , 0.037383176    , 1711.9043 , -1858.3413 , -11.1036625    ,0.0 , 0.0 , 0.0
17522000  , -0.05050505 , -0.9607843 , 0.037383176    , 1711.9043 , -1858.3923 , -11.1036625    ,0.0 , 0.0 , 0.0
2475000  , -0.05050505 , -0.9411765 , 0.0    , 1711.9059 , -1858.3977 , -11.102274    ,0.0 , 0.0 , 0.0
17539000  , -0.05050505 , -0.9607843 , 0.037383176    , 1711.9366 , -1858.4467 , -11.102274    ,0.0 , 0.0 , 0.0
3747000  , -0.060606062 , -0.9607843 , 0.037383176    , 1711.9396 , -1858.4523 , -11.104838    ,0.0 , 0.0 , 0.0
17501000  , -0.04040404 , -0.9607843 , 0.037383176    , 1711.9691 , -1858.4996 , -11.135607    ,0.0 , 0.0 , 0.0
1230000  , -0.060606062 , -0.9607843 , 0.037383176    , 1711.9739 , -1858.5084 , -11.143406    ,0.0 , 0.0 , 0.0
17519000  , -0.05050505 , -0.9607843 , 0.037383176    , 1712.0239 , -1858.6835 , -11.318406    ,0.0 , 0.0 , 0.0
5035000  , -0.02020202 , -0.9607843 , 0.037383176    , 1712.0239 , -1858.694 , -11.331334    ,0.0 , 0.0 , 0.0
17536000  , -0.02020202 , -0.9411765 , 0.0    , 1712.012 , -1858.731 , -11.382103    ,0.0 , 0.0 , 0.0
1142000  , -0.02020202 , -0.99019605 , 0.0    , 1712.008 , -1858.7412 , -11.396583    ,0.0 , 0.0 , 0.0
17535000  , -0.01010101 , -0.98039216 , 0.0    , 1711.9504 , -1858.872 , -11.596582    ,0.0 , 0.0 , 0.0
2493000  , -0.02020202 , -0.9607843 , 0.07476635    , 1711.9504 , -1858.8798 , -11.6055565    ,0.0 , 0.0 , 0.0
17526000  , -0.05050505 , -0.9607843 , 0.07476635    , 1712.0283 , -1858.9241 , -11.662288    ,0.0 , 0.0 , 0.0
3696000  , -0.05050505 , -0.9705882 , 0.0    , 1712.0244 , -1858.9288 , -11.668805    ,0.0 , 0.0 , 0.0
17539000  , -0.05050505 , -0.9705882 , 0.0    , 1711.9817 , -1858.9509 , -11.693324    ,0.0 , 0.0 , 0.0
2487000  , -0.04040404 , -0.99019605 , 0.0    , 1711.9766 , -1858.9559 , -11.69898    ,0.0 , 0.0 , 0.0
