time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
68932927  , 0.008333334 , -0.5083333 , 0.9611111    , 0.0 , 0.0 , -1.0    ,-5.75 , -5.875 , -44.1875
213414  , 0.008333334 , -0.5083333 , 0.9611111    , 0.0 , 0.0 , -1.0    ,-6.0 , -5.625 , -43.6875
48231707  , 0.019444445 , -0.54305553 , 0.9333334    , 0.0 , 0.0 , -1.0    ,-6.0 , -5.625 , -43.6875
213415  , 0.019444445 , -0.54305553 , 0.9333334    , 0.0 , 0.0 , -1.0    ,-5.75 , -5.875 , -43.9375
30884147  , 0.02777778 , -0.55833334 , 0.87083334    , 0.0 , 0.0 , -1.0    ,-5.75 , -5.875 , -43.9375
3780487  , 0.02777778 , -0.55833334 , 0.87083334    , 0.0 , 0.0 , -1.0    ,-4.75 , -5.875 , -44.1875
25945123  , 0.03888889 , -0.5541667 , 0.8208333    , 0.0 , 0.0 , -1.0    ,-4.75 , -5.875 , -44.1875
213414  , 0.03888889 , -0.5541667 , 0.8208333    , 0.0 , 0.0 , -1.0    ,-5.0 , -6.375 , -43.6875
27804878  , 0.02777778 , -0.5472222 , 0.85555553    , 0.0 , 0.0 , -1.0    ,-5.0 , -6.375 , -43.6875
213415  , 0.02777778 , -0.5472222 , 0.85555553    , 0.0 , 0.0 , -1.0    ,-4.5 , -6.625 , -43.9375
27164634  , 0.02777778 , -0.5513889 , 0.89861107    , 0.0 , 0.0 , -1.0    ,-4.5 , -6.625 , -43.9375
304878  , 0.02777778 , -0.5513889 , 0.89861107    , 0.0 , 0.0 , -1.0    ,-4.5 , -6.375 , -43.9375
46615853  , 0.019444445 , -0.57361114 , 0.9611111    , 0.0 , 0.0 , -1.0    ,-4.5 , -6.375 , -43.9375
213415  , 0.019444445 , -0.57361114 , 0.9611111    , 0.0 , 0.0 , -1.0    ,-5.25 , -6.375 , -43.9375
31097561  , 0.008333334 , -0.5472222 , 0.98888886    , 0.0 , 0.0 , -1.0    ,-5.25 , -6.375 , -43.9375
335366  , 0.008333334 , -0.5472222 , 0.98888886    , 0.0 , 0.0 , -1.0    ,-5.75 , -6.125 , -44.4375
29054878  , -0.034722224 , -0.5 , 0.9805556    , 0.0 , 0.0 , -1.0    ,-5.75 , -6.125 , -44.4375
182927  , -0.034722224 , -0.5 , 0.9805556    , 0.0 , 0.0 , -1.0    ,-6.3125 , -5.625 , -44.1875
26707317  , -0.043055557 , -0.46111113 , 0.93750006    , 0.0 , 0.0 , -1.0    ,-6.3125 , -5.625 , -44.1875
243903  , -0.043055557 , -0.46111113 , 0.93750006    , 0.0 , 0.0 , -1.0    ,-6.8125 , -4.875 , -44.6875
30121952  , -0.043055557 , -0.46111113 , 0.875    , 0.0 , 0.0 , -1.0    ,-6.8125 , -4.875 , -44.6875
213414  , -0.043055557 , -0.46111113 , 0.875    , 0.0 , 0.0 , -1.0    ,-7.3125 , -4.625 , -44.9375
30121951  , -0.015277779 , -0.4916667 , 0.89027786    , 0.0 , 0.0 , -1.0    ,-7.3125 , -4.625 , -44.9375
213415  , -0.015277779 , -0.4916667 , 0.89027786    , 0.0 , 0.0 , -1.0    ,-7.0625 , -4.375 , -44.4375
27804878  , 0.0 , -0.51944447 , 0.98888886    , 0.0 , 0.0 , -1.0    ,-7.0625 , -4.375 , -44.4375
213414  , 0.0 , -0.51944447 , 0.98888886    , 0.0 , 0.0 , -1.0    ,-7.5625 , -3.875 , -44.9375
27621951  , -0.043055557 , -0.5236111 , 1.0472223    , 0.0 , 0.0 , -1.0    ,-7.5625 , -3.875 , -44.9375
243903  , -0.043055557 , -0.5236111 , 1.0472223    , 0.0 , 0.0 , -1.0    ,-7.5625 , -4.125 , -44.1875
27500000  , -0.054166667 , -0.51111114 , 1.0625    , 0.0 , 0.0 , -1.0    ,-7.5625 , -4.125 , -44.1875
213415  , -0.054166667 , -0.51111114 , 1.0625    , 0.0 , 0.0 , -1.0    ,-7.5625 , -3.1875 , -43.9375
37256097  , -0.034722224 , -0.50416666 , 1.0944444    , 0.0 , 0.0 , -1.0    ,-7.5625 , -3.1875 , -43.9375
182927  , -0.034722224 , -0.50416666 , 1.0944444    , 0.0 , 0.0 , -1.0    ,-7.5625 , -2.1875 , -44.4375
26219512  , -0.034722224 , -0.46944448 , 1.0819445    , 0.0 , 0.0 , -1.0    ,-7.5625 , -2.1875 , -44.4375
182927  , -0.034722224 , -0.46944448 , 1.0819445    , 0.0 , 0.0 , -1.0    ,-7.0625 , -0.9375 , -43.6875
57500000  , -0.02777778 , -0.4027778 , 0.9916667    , 0.0 , 0.0 , -1.0    ,-7.0625 , -0.9375 , -43.6875
