time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
3797000  , 0.97979796 , -0.039215688 , 0.26168224    , 3786.4243 , -2775.2993 , -350.91458    ,0.0 , 0.0 , 0.0
17514000  , 1.0 , -0.078431375 , 0.2990654    , 3786.4988 , -2775.3162 , -350.9059    ,0.0 , 0.0 , 0.0
2445000  , 1.020202 , -0.078431375 , 0.26168224    , 3786.5073 , -2775.3296 , -350.90378    ,0.0 , 0.0 , 0.0
17504000  , 0.97979796 , -0.09803922 , 0.2990654    , 3786.5793 , -2775.3584 , -350.87012    ,0.0 , 0.0 , 0.0
2437000  , 0.959596 , -0.078431375 , 0.2990654    , 3786.5981 , -2775.3555 , -350.86148    ,0.0 , 0.0 , 0.0
17570000  , 0.969697 , -0.078431375 , 0.2990654    , 3786.7559 , -2775.3323 , -350.7903    ,0.0 , 0.0 , 0.0
2485000  , 0.969697 , -0.068627454 , 0.2990654    , 3786.7673 , -2775.3323 , -350.78326    ,0.0 , 0.0 , 0.0
17503000  , 0.959596 , -0.0882353 , 0.3364486    , 3786.8596 , -2775.3323 , -350.71597    ,0.0 , 0.0 , 0.0
2502000  , 0.97979796 , -0.09803922 , 0.3364486    , 3786.867 , -2775.3323 , -350.70816    ,0.0 , 0.0 , 0.0
17504000  , 0.969697 , -0.09803922 , 0.3364486    , 3786.867 , -2775.347 , -350.64566    ,0.0 , 0.0 , 0.0
3693000  , 0.959596 , -0.078431375 , 0.2990654    , 3786.8635 , -2775.3486 , -350.63934    ,0.0 , 0.0 , 0.0
17616000  , 0.959596 , -0.12745099 , 0.2990654    , 3786.8284 , -2775.3691 , -350.59705    ,0.0 , 0.0 , 0.0
2641000  , 0.969697 , -0.09803922 , 0.2990654    , 3786.8228 , -2775.3735 , -350.5914    ,0.0 , 0.0 , 0.0
17297000  , 0.969697 , -0.12745099 , 0.2990654    , 3786.796 , -2775.4067 , -350.5651    ,0.0 , 0.0 , 0.0
2486000  , 0.969697 , -0.12745099 , 0.2990654    , 3786.7944 , -2775.4138 , -350.56396    ,0.0 , 0.0 , 0.0
17561000  , 0.969697 , -0.078431375 , 0.22429906    , 3786.7715 , -2775.4792 , -350.54474    ,0.0 , 0.0 , 0.0
2417000  , 1.020202 , -0.10784314 , 0.2990654    , 3786.7715 , -2775.488 , -350.54474    ,0.0 , 0.0 , 0.0
17513000  , 0.97979796 , -0.068627454 , 0.26168224    , 3786.833 , -2775.565 , -350.56302    ,0.0 , 0.0 , 0.0
2522000  , 0.969697 , -0.09803922 , 0.3364486    , 3786.849 , -2775.551 , -350.5646    ,0.0 , 0.0 , 0.0
17470000  , 0.959596 , -0.0882353 , 0.3364486    , 3787.0366 , -2775.551 , -350.5646    ,0.0 , 0.0 , 0.0
2520000  , 1.010101 , -0.10784314 , 0.2990654    , 3787.043 , -2775.5576 , -350.57135    ,0.0 , 0.0 , 0.0
