time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
137073170  , -0.008333334 , -0.6486111 , 0.8277778    , 0.0 , 0.0 , -1.0    ,22.3125 , -36.9375 , -41.625
304878  , -0.008333334 , -0.6486111 , 0.8277778    , 0.0 , 0.0 , -1.0    ,21.0625 , -37.1875 , -41.375
1432926  , -0.004166667 , -0.5861111 , 0.78472227    , 0.0 , 0.0 , -1.0    ,21.0625 , -37.1875 , -41.375
365854  , -0.004166667 , -0.5861111 , 0.78472227    , 0.0 , 0.0 , -1.0    ,19.8125 , -38.4375 , -41.375
51249999  , -0.004166667 , -0.65694445 , 0.7583333    , 0.0 , 0.0 , -1.0    ,19.8125 , -38.4375 , -41.375
365853  , -0.004166667 , -0.65694445 , 0.7583333    , 0.0 , 0.0 , -1.0    ,18.5 , -39.375 , -40.625
65975610  , -0.02777778 , -0.6486111 , 0.7972222    , 0.0 , 0.0 , -1.0    ,18.5 , -39.375 , -40.625
243903  , -0.02777778 , -0.6486111 , 0.7972222    , 0.0 , 0.0 , -1.0    ,17.25 , -40.875 , -40.1875
243902  , -0.094444446 , -0.7263889 , 0.76944447    , 0.0 , 0.0 , -1.0    ,17.25 , -40.875 , -40.1875
4664635  , -0.094444446 , -0.7263889 , 0.76944447    , 0.0 , 0.0 , -1.0    ,16.0 , -42.625 , -38.9375
59298781  , -0.17222223 , -0.76944447 , 0.75    , 0.0 , 0.0 , -1.0    ,16.0 , -42.625 , -38.9375
1006097  , -0.17222223 , -0.76944447 , 0.75    , 0.0 , 0.0 , -1.0    ,14.1875 , -44.125 , -37.6875
58201219  , -0.24166667 , -0.7777778 , 0.7152778    , 0.0 , 0.0 , -1.0    ,14.1875 , -44.125 , -37.6875
274390  , -0.24166667 , -0.7777778 , 0.7152778    , 0.0 , 0.0 , -1.0    ,12.4375 , -45.625 , -36.5
3475609  , -0.25 , -0.8013889 , 0.6402778    , 0.0 , 0.0 , -1.0    ,12.4375 , -45.625 , -36.5
274390  , -0.25 , -0.8013889 , 0.6402778    , 0.0 , 0.0 , -1.0    ,11.4375 , -47.3125 , -35.0
53750000  , -0.17638889 , -0.79305553 , 0.57361114    , 0.0 , 0.0 , -1.0    ,11.4375 , -47.3125 , -35.0
853658  , -0.17638889 , -0.79305553 , 0.57361114    , 0.0 , 0.0 , -1.0    ,10.6875 , -49.5625 , -33.8125
274391  , -0.20694445 , -0.8597222 , 0.68333334    , 0.0 , 0.0 , -1.0    ,10.6875 , -49.5625 , -33.8125
243902  , -0.20694445 , -0.8597222 , 0.68333334    , 0.0 , 0.0 , -1.0    ,10.375 , -51.0625 , -32.8125
39634146  , -0.24166667 , -0.93750006 , 0.8277778    , 0.0 , 0.0 , -1.0    ,10.375 , -51.0625 , -32.8125
304878  , -0.24166667 , -0.93750006 , 0.8277778    , 0.0 , 0.0 , -1.0    ,10.6875 , -52.5625 , -32.0625
45914634  , -0.19861111 , -0.875 , 0.76944447    , 0.0 , 0.0 , -1.0    ,10.6875 , -52.5625 , -32.0625
2774390  , -0.19861111 , -0.875 , 0.76944447    , 0.0 , 0.0 , -1.0    ,10.9375 , -52.8125 , -31.875
36189025  , -0.15694445 , -0.75 , 0.67222226    , 0.0 , 0.0 , -1.0    ,10.9375 , -52.8125 , -31.875
335365  , -0.15694445 , -0.75 , 0.67222226    , 0.0 , 0.0 , -1.0    ,11.4375 , -52.5625 , -31.625
50426830  , -0.21111113 , -0.65694445 , 0.5902778    , 0.0 , 0.0 , -1.0    ,11.4375 , -52.5625 , -31.625
487805  , -0.21111113 , -0.65694445 , 0.5902778    , 0.0 , 0.0 , -1.0    ,11.9375 , -52.8125 , -31.125
5365854  , -0.2736111 , -0.68333334 , 0.5513889    , 0.0 , 0.0 , -1.0    ,11.9375 , -52.8125 , -31.125
304878  , -0.2736111 , -0.68333334 , 0.5513889    , 0.0 , 0.0 , -1.0    ,12.6875 , -52.5625 , -30.375
28170732  , -0.1875 , -0.61388886 , 0.48055556    , 0.0 , 0.0 , -1.0    ,12.6875 , -52.5625 , -30.375
2621951  , -0.1875 , -0.61388886 , 0.48055556    , 0.0 , 0.0 , -1.0    ,13.6875 , -52.0625 , -29.375
36951220  , -0.11388889 , -0.74583334 , 0.34722224    , 0.0 , 0.0 , -1.0    ,13.6875 , -52.0625 , -29.375
37195122  , -0.11388889 , -0.74583334 , 0.34722224    , 0.0 , 0.0 , -1.0    ,15.0 , -51.0625 , -29.375
1615854  , -0.097222224 , -0.89027786 , 0.2777778    , 0.0 , 0.0 , -1.0    ,15.0 , -51.0625 , -29.375
1280488  , -0.097222224 , -0.89027786 , 0.2777778    , 0.0 , 0.0 , -1.0    ,16.75 , -50.0625 , -29.375
