time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
66951220  , 0.9263889 , -0.37083334 , -0.02777778    , 0.0 , 0.0 , -1.0    ,34.1875 , -33.5 , -0.625
213414  , 0.9263889 , -0.37083334 , -0.02777778    , 0.0 , 0.0 , -1.0    ,33.9375 , -33.75 , -1.125
30548780  , 0.93750006 , -0.37083334 , -0.02777778    , 0.0 , 0.0 , -1.0    ,33.9375 , -33.75 , -1.125
43658537  , 0.92916673 , -0.37083334 , -0.02777778    , 0.0 , 0.0 , -1.0    ,33.9375 , -33.75 , -1.125
182927  , 0.92916673 , -0.37083334 , -0.02777778    , 0.0 , 0.0 , -1.0    ,33.9375 , -34.0 , -1.125
29817073  , 0.9027778 , -0.37916666 , -0.03888889    , 0.0 , 0.0 , -1.0    ,33.9375 , -34.0 , -1.125
213415  , 0.9027778 , -0.37916666 , -0.03888889    , 0.0 , 0.0 , -1.0    ,33.4375 , -34.0 , -1.125
30000000  , 0.9097222 , -0.3861111 , -0.02777778    , 0.0 , 0.0 , -1.0    ,33.4375 , -34.0 , -1.125
304879  , 0.9097222 , -0.3861111 , -0.02777778    , 0.0 , 0.0 , -1.0    ,33.9375 , -34.0 , -0.875
29268292  , 0.9097222 , -0.39444447 , -0.02777778    , 0.0 , 0.0 , -1.0    ,33.9375 , -34.0 , -0.875
213414  , 0.9097222 , -0.39444447 , -0.02777778    , 0.0 , 0.0 , -1.0    ,34.1875 , -34.0 , -0.875
24939024  , 0.9097222 , -0.38333336 , -0.023611112    , 0.0 , 0.0 , -1.0    ,34.1875 , -34.0 , -0.875
213415  , 0.9097222 , -0.38333336 , -0.023611112    , 0.0 , 0.0 , -1.0    ,34.1875 , -33.5 , -1.375
29908537  , 0.9097222 , -0.375 , -0.023611112    , 0.0 , 0.0 , -1.0    ,34.1875 , -33.5 , -1.375
182927  , 0.9097222 , -0.375 , -0.023611112    , 0.0 , 0.0 , -1.0    ,34.4375 , -33.75 , -1.125
24969512  , 0.90555555 , -0.37083334 , -0.02777778    , 0.0 , 0.0 , -1.0    ,34.4375 , -33.75 , -1.125
335366  , 0.90555555 , -0.37083334 , -0.02777778    , 0.0 , 0.0 , -1.0    ,34.4375 , -33.75 , -0.875
30426829  , 0.9180556 , -0.3638889 , -0.034722224    , 0.0 , 0.0 , -1.0    ,34.4375 , -33.75 , -0.875
243903  , 0.9180556 , -0.3638889 , -0.034722224    , 0.0 , 0.0 , -1.0    ,34.6875 , -33.5 , -0.875
30030488  , 0.94166666 , -0.3861111 , -0.02777778    , 0.0 , 0.0 , -1.0    ,34.6875 , -33.5 , -0.875
243903  , 0.94166666 , -0.3861111 , -0.02777778    , 0.0 , 0.0 , -1.0    ,34.6875 , -33.75 , -0.375
26341463  , 0.95694447 , -0.3986111 , -0.008333334    , 0.0 , 0.0 , -1.0    ,34.6875 , -33.75 , -0.375
213414  , 0.95694447 , -0.3986111 , -0.008333334    , 0.0 , 0.0 , -1.0    ,34.6875 , -33.5 , -0.625
27926829  , 0.9333334 , -0.3986111 , 0.015277779    , 0.0 , 0.0 , -1.0    ,34.6875 , -33.5 , -0.625
182927  , 0.9333334 , -0.3986111 , 0.015277779    , 0.0 , 0.0 , -1.0    ,34.4375 , -33.5 , -0.875
37621952  , 0.92222226 , -0.39444447 , 0.023611112    , 0.0 , 0.0 , -1.0    ,34.4375 , -33.5 , -0.875
182927  , 0.92222226 , -0.39444447 , 0.023611112    , 0.0 , 0.0 , -1.0    ,34.1875 , -33.5 , -0.625
37225610  , 0.95694447 , -0.35972223 , -0.008333334    , 0.0 , 0.0 , -1.0    ,34.1875 , -33.5 , -0.625
4481707  , 0.95694447 , -0.35972223 , -0.008333334    , 0.0 , 0.0 , -1.0    ,34.1875 , -33.25 , -0.625
21646342  , 0.9916667 , -0.29722223 , -0.0    , 0.0 , 0.0 , -1.0    ,34.1875 , -33.25 , -0.625
3079269  , 0.9916667 , -0.29722223 , -0.0    , 0.0 , 0.0 , -1.0    ,34.4375 , -33.25 , -0.125
31067073  , 0.98888886 , -0.25833333 , -0.019444445    , 0.0 , 0.0 , -1.0    ,34.4375 , -33.25 , -0.125
182927  , 0.98888886 , -0.25833333 , -0.019444445    , 0.0 , 0.0 , -1.0    ,34.4375 , -33.0 , 0.375
37835366  , 0.9916667 , -0.21111113 , -0.034722224    , 0.0 , 0.0 , -1.0    ,34.4375 , -33.0 , 0.375
213415  , 0.9916667 , -0.21111113 , -0.034722224    , 0.0 , 0.0 , -1.0    ,34.1875 , -32.75 , 0.875
36554877  , 0.98888886 , -0.17222223 , -0.06666667    , 0.0 , 0.0 , -1.0    ,34.1875 , -32.75 , 0.875
274391  , 0.98888886 , -0.17222223 , -0.06666667    , 0.0 , 0.0 , -1.0    ,34.4375 , -32.75 , 0.625
59298781  , 0.9916667 , -0.15972222 , -0.06666667    , 0.0 , 0.0 , -1.0    ,34.4375 , -32.75 , 0.625
7439024  , 0.9916667 , -0.15972222 , -0.06666667    , 0.0 , 0.0 , -1.0    ,34.6875 , -32.5 , 0.375
28079268  , 1.0041667 , -0.14444445 , -0.02777778    , 0.0 , 0.0 , -1.0    ,34.6875 , -32.5 , 0.375
243903  , 1.0041667 , -0.14444445 , -0.02777778    , 0.0 , 0.0 , -1.0    ,34.6875 , -32.75 , 0.125
44298781  , 1.0041667 , -0.15694445 , -0.02777778    , 0.0 , 0.0 , -1.0    ,34.6875 , -32.75 , 0.125
304878  , 1.0041667 , -0.15694445 , -0.02777778    , 0.0 , 0.0 , -1.0    ,35.1875 , -33.0 , -0.375
213414  , 1.0305556 , -0.15972222 , -0.034722224    , 0.0 , 0.0 , -1.0    ,35.1875 , -33.0 , -0.375
182927  , 1.0305556 , -0.15972222 , -0.034722224    , 0.0 , 0.0 , -1.0    ,35.1875 , -33.5 , -0.625
30365854  , 1.0472223 , -0.06666667 , -0.07361111    , 0.0 , 0.0 , -1.0    ,35.1875 , -33.5 , -0.625
243902  , 1.0472223 , -0.06666667 , -0.07361111    , 0.0 , 0.0 , -1.0    ,34.6875 , -33.5 , -0.875
19817073  , 1.0583334 , -0.031944446 , -0.08611111    , 0.0 , 0.0 , -1.0    ,34.6875 , -33.5 , -0.875
213415  , 1.0583334 , -0.031944446 , -0.08611111    , 0.0 , 0.0 , -1.0    ,34.4375 , -33.25 , -1.5625
45457317  , 1.0541667 , -0.043055557 , -0.07083333    , 0.0 , 0.0 , -1.0    ,34.4375 , -33.25 , -1.5625
243902  , 1.0541667 , -0.043055557 , -0.07083333    , 0.0 , 0.0 , -1.0    ,34.1875 , -33.0 , -2.5625
23048780  , 1.0541667 , -0.054166667 , -0.023611112    , 0.0 , 0.0 , -1.0    ,34.1875 , -33.0 , -2.5625
213414  , 1.0541667 , -0.054166667 , -0.023611112    , 0.0 , 0.0 , -1.0    ,34.4375 , -32.75 , -3.3125
44420732  , 1.0666667 , -0.03888889 , 0.031944446    , 0.0 , 0.0 , -1.0    ,34.4375 , -32.75 , -3.3125
213414  , 1.0666667 , -0.03888889 , 0.031944446    , 0.0 , 0.0 , -1.0    ,34.1875 , -32.5 , -4.75
24878048  , 1.0513889 , -0.0625 , 0.06666667    , 0.0 , 0.0 , -1.0    ,34.1875 , -32.5 , -4.75
213414  , 1.0513889 , -0.0625 , 0.06666667    , 0.0 , 0.0 , -1.0    ,34.1875 , -32.25 , -6.5
21493902  , 1.0236112 , -0.101388894 , 0.13611111    , 0.0 , 0.0 , -1.0    ,34.1875 , -32.25 , -6.5
182927  , 1.0236112 , -0.101388894 , 0.13611111    , 0.0 , 0.0 , -1.0    ,33.9375 , -32.25 , -8.4375
26707317  , 0.9916667 , -0.10972223 , 0.17916667    , 0.0 , 0.0 , -1.0    ,33.9375 , -32.25 , -8.4375
274390  , 0.9916667 , -0.10972223 , 0.17916667    , 0.0 , 0.0 , -1.0    ,33.1875 , -32.0625 , -11.125
21006097  , 0.9805556 , -0.13333334 , 0.24166667    , 0.0 , 0.0 , -1.0    ,33.1875 , -32.0625 , -11.125
243903  , 0.9805556 , -0.13333334 , 0.24166667    , 0.0 , 0.0 , -1.0    ,32.4375 , -32.0625 , -13.3125
27469513  , 0.9527778 , -0.17638889 , 0.3236111    , 0.0 , 0.0 , -1.0    ,32.4375 , -32.0625 , -13.3125
457317  , 0.9527778 , -0.17638889 , 0.3236111    , 0.0 , 0.0 , -1.0    ,31.125 , -31.3125 , -15.25
15426830  , 0.8944445 , -0.16388889 , 0.38333336    , 0.0 , 0.0 , -1.0    ,31.125 , -31.3125 , -15.25
213414  , 0.8944445 , -0.16388889 , 0.38333336    , 0.0 , 0.0 , -1.0    ,30.625 , -30.5625 , -17.25
29573171  , 0.87083334 , -0.14861111 , 0.42916667    , 0.0 , 0.0 , -1.0    ,30.625 , -30.5625 , -17.25
213414  , 0.87083334 , -0.14861111 , 0.42916667    , 0.0 , 0.0 , -1.0    ,29.625 , -29.3125 , -18.9375
39512195  , 0.875 , -0.07777778 , 0.48888892    , 0.0 , 0.0 , -1.0    ,29.625 , -29.3125 , -18.9375
213414  , 0.875 , -0.07777778 , 0.48888892    , 0.0 , 0.0 , -1.0    ,29.375 , -27.8125 , -20.875
30396341  , 0.8361111 , -0.07777778 , 0.6638889    , 0.0 , 0.0 , -1.0    ,29.375 , -27.8125 , -20.875
365854  , 0.8361111 , -0.07777778 , 0.6638889    , 0.0 , 0.0 , -1.0    ,29.875 , -26.5625 , -23.375
39969513  , 0.73055553 , -0.09027778 , 0.70694447    , 0.0 , 0.0 , -1.0    ,29.875 , -26.5625 , -23.375
426829  , 0.73055553 , -0.09027778 , 0.70694447    , 0.0 , 0.0 , -1.0    ,28.875 , -24.625 , -25.8125
38323171  , 0.6166667 , -0.14444445 , 0.78194445    , 0.0 , 0.0 , -1.0    ,28.875 , -24.625 , -25.8125
426829  , 0.6166667 , -0.14444445 , 0.78194445    , 0.0 , 0.0 , -1.0    ,28.375 , -22.375 , -27.75
39329268  , 0.4722222 , -0.20277779 , 0.9527778    , 0.0 , 0.0 , -1.0    ,28.375 , -22.375 , -27.75
426829  , 0.4722222 , -0.20277779 , 0.9527778    , 0.0 , 0.0 , -1.0    ,27.875 , -20.375 , -30.1875
39268292  , 0.30833334 , -0.43333334 , 1.1166667    , 0.0 , 0.0 , -1.0    ,27.875 , -20.375 , -30.1875
426829  , 0.30833334 , -0.43333334 , 1.1166667    , 0.0 , 0.0 , -1.0    ,26.8125 , -17.875 , -31.875
38719512  , 0.1875 , -0.5708333 , 1.2388889    , 0.0 , 0.0 , -1.0    ,26.8125 , -17.875 , -31.875
396342  , 0.1875 , -0.5708333 , 1.2388889    , 0.0 , 0.0 , -1.0    ,26.3125 , -15.4375 , -32.875
39359756  , 0.11388889 , -0.69166666 , 1.2736111    , 0.0 , 0.0 , -1.0    ,26.3125 , -15.4375 , -32.875
213415  , 0.11388889 , -0.69166666 , 1.2736111    , 0.0 , 0.0 , -1.0    ,25.8125 , -13.4375 , -34.625
45060976  , 0.09305556 , -0.75 , 1.2111112    , 0.0 , 0.0 , -1.0    ,25.8125 , -13.4375 , -34.625
274390  , 0.09305556 , -0.75 , 1.2111112    , 0.0 , 0.0 , -1.0    ,25.3125 , -11.4375 , -35.3125
33018293  , 0.105555564 , -0.7111111 , 1.1208334    , 0.0 , 0.0 , -1.0    ,25.3125 , -11.4375 , -35.3125
213415  , 0.105555564 , -0.7111111 , 1.1208334    , 0.0 , 0.0 , -1.0    ,24.8125 , -10.25 , -36.0625
40243903  , 0.13611111 , -0.65694445 , 1.0194445    , 0.0 , 0.0 , -1.0    ,24.8125 , -10.25 , -36.0625
396342  , 0.13611111 , -0.65694445 , 1.0194445    , 0.0 , 0.0 , -1.0    ,24.5625 , -9.5 , -36.8125
39786585  , 0.13611111 , -0.67222226 , 0.9458333    , 0.0 , 0.0 , -1.0    ,24.5625 , -9.5 , -36.8125
426829  , 0.13611111 , -0.67222226 , 0.9458333    , 0.0 , 0.0 , -1.0    ,24.5625 , -8.75 , -36.8125
38414634  , 0.116666675 , -0.68333334 , 0.92222226    , 0.0 , 0.0 , -1.0    ,24.5625 , -8.75 , -36.8125
426830  , 0.116666675 , -0.68333334 , 0.92222226    , 0.0 , 0.0 , -1.0    ,24.0625 , -8.5 , -36.8125
39390244  , 0.16388889 , -0.68333334 , 0.9333334    , 0.0 , 0.0 , -1.0    ,24.0625 , -8.5 , -36.8125
426829  , 0.16388889 , -0.68333334 , 0.9333334    , 0.0 , 0.0 , -1.0    ,23.5625 , -8.75 , -36.8125
38871951  , 0.18333334 , -0.6527778 , 0.8944445    , 0.0 , 0.0 , -1.0    ,23.5625 , -8.75 , -36.8125
426829  , 0.18333334 , -0.6527778 , 0.8944445    , 0.0 , 0.0 , -1.0    ,23.3125 , -9.25 , -37.0625
39939024  , 0.15555556 , -0.6638889 , 0.89861107    , 0.0 , 0.0 , -1.0    ,23.3125 , -9.25 , -37.0625
792682  , 0.15555556 , -0.6638889 , 0.89861107    , 0.0 , 0.0 , -1.0    ,22.5 , -10.0 , -36.5625
39420731  , 0.16388889 , -0.63611114 , 0.9138889    , 0.0 , 0.0 , -1.0    ,22.5 , -10.0 , -36.5625
426829  , 0.16388889 , -0.63611114 , 0.9138889    , 0.0 , 0.0 , -1.0    ,22.5 , -10.25 , -36.3125
37103658  , 0.21805556 , -0.5972222 , 0.89027786    , 0.0 , 0.0 , -1.0    ,22.5 , -10.25 , -36.3125
579268  , 0.21805556 , -0.5972222 , 0.89027786    , 0.0 , 0.0 , -1.0    ,23.0625 , -10.25 , -36.0625
40091463  , 0.25 , -0.5902778 , 0.8513889    , 0.0 , 0.0 , -1.0    ,23.0625 , -10.25 , -36.0625
1463414  , 0.25 , -0.5902778 , 0.8513889    , 0.0 , 0.0 , -1.0    ,23.3125 , -9.75 , -35.0625
38628049  , 0.2611111 , -0.59444445 , 0.8277778    , 0.0 , 0.0 , -1.0    ,23.3125 , -9.75 , -35.0625
365854  , 0.2611111 , -0.59444445 , 0.8277778    , 0.0 , 0.0 , -1.0    ,24.0625 , -9.75 , -35.3125
38140244  , 0.24583335 , -0.5902778 , 0.78888893    , 0.0 , 0.0 , -1.0    ,24.0625 , -9.75 , -35.3125
365854  , 0.24583335 , -0.5902778 , 0.78888893    , 0.0 , 0.0 , -1.0    ,24.5625 , -9.75 , -35.3125
53719512  , 0.2611111 , -0.6097222 , 0.7736111    , 0.0 , 0.0 , -1.0    ,24.5625 , -9.75 , -35.3125
