time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
17573000  , 0.9191919 , -0.38235295 , -0.18691589    , 1253.1624 , 902.8308 , -584.83795    ,0.0 , 0.0 , 0.0
3658000  , 0.9191919 , -0.4509804 , -0.1495327    , 1253.1471 , 902.8319 , -584.831    ,0.0 , 0.0 , 0.0
17545000  , 0.9191919 , -0.42156863 , -0.1495327    , 1253.0721 , 902.81714 , -584.76624    ,0.0 , 0.0 , 0.0
2497000  , 0.8888889 , -0.39215687 , -0.11214953    , 1253.0765 , 902.81714 , -584.7517    ,0.0 , 0.0 , 0.0
17492000  , 0.86868685 , -0.4117647 , -0.07476635    , 1253.1381 , 902.81714 , -584.55554    ,0.0 , 0.0 , 0.0
2458000  , 0.8787879 , -0.4019608 , -0.037383176    , 1253.1469 , 902.8193 , -584.53546    ,0.0 , 0.0 , 0.0
17569000  , 0.8787879 , -0.38235295 , -0.037383176    , 1253.2642 , 902.87695 , -584.38257    ,0.0 , 0.0 , 0.0
2490000  , 0.8484849 , -0.4019608 , 0.0    , 1253.2748 , 902.8829 , -584.36755    ,0.0 , 0.0 , 0.0
17498000  , 0.85858583 , -0.4019608 , 0.0    , 1253.3363 , 902.96747 , -584.27905    ,0.0 , 0.0 , 0.0
3750000  , 0.86868685 , -0.4019608 , 0.0    , 1253.3341 , 902.9758 , -584.2762    ,0.0 , 0.0 , 0.0
17503000  , 0.85858583 , -0.4117647 , 0.0    , 1253.2927 , 903.0051 , -584.2892    ,0.0 , 0.0 , 0.0
2482000  , 0.86868685 , -0.44117647 , 0.037383176    , 1253.2808 , 903.01306 , -584.2973    ,0.0 , 0.0 , 0.0
17523000  , 0.86868685 , -0.4509804 , 0.037383176    , 1253.2013 , 903.0797 , -584.3659    ,0.0 , 0.0 , 0.0
2459000  , 0.86868685 , -0.46078432 , 0.037383176    , 1253.1816 , 903.094 , -584.3788    ,0.0 , 0.0 , 0.0
17558000  , 0.8787879 , -0.5294118 , -0.037383176    , 1252.9355 , 903.2738 , -584.473    ,0.0 , 0.0 , 0.0
2464000  , 0.8484849 , -0.44117647 , 0.1495327    , 1252.901 , 903.29816 , -584.48083    ,0.0 , 0.0 , 0.0
17511000  , 0.83838385 , -0.49019608 , 0.037383176    , 1252.7048 , 903.47186 , -584.48083    ,0.0 , 0.0 , 0.0
2488000  , 0.82828283 , -0.5 , 0.0    , 1252.6503 , 903.5128 , -584.48083    ,0.0 , 0.0 , 0.0
17502000  , 0.83838385 , -0.42156863 , 0.037383176    , 1252.2823 , 903.75256 , -584.48083    ,0.0 , 0.0 , 0.0
2663000  , 0.82828283 , -0.4509804 , 0.037383176    , 1252.2129 , 903.7975 , -584.48083    ,0.0 , 0.0 , 0.0
17343000  , 0.82828283 , -0.43137255 , -0.037383176    , 1251.7316 , 904.06476 , -584.48083    ,0.0 , 0.0 , 0.0
4156000  , 0.8484849 , -0.44117647 , -0.037383176    , 1251.633 , 904.1123 , -584.4856    ,0.0 , 0.0 , 0.0
17126000  , 0.8484849 , -0.42156863 , -0.07476635    , 1251.2008 , 904.3075 , -584.5269    ,0.0 , 0.0 , 0.0
2461000  , 0.85858583 , -0.4117647 , -0.07476635    , 1251.0984 , 904.351 , -584.5414    ,0.0 , 0.0 , 0.0
17529000  , 0.8787879 , -0.39215687 , -0.11214953    , 1250.5317 , 904.5741 , -584.6504    ,0.0 , 0.0 , 0.0
2477000  , 0.8787879 , -0.38235295 , -0.11214953    , 1250.4354 , 904.60846 , -584.6747    ,0.0 , 0.0 , 0.0
17505000  , 0.8888889 , -0.4019608 , -0.11214953    , 1249.9297 , 904.7681 , -584.84454    ,0.0 , 0.0 , 0.0
2490000  , 0.8787879 , -0.37254903 , -0.11214953    , 1249.8445 , 904.7906 , -584.8785    ,0.0 , 0.0 , 0.0
17489000  , 0.90909094 , -0.3529412 , -0.11214953    , 1249.3873 , 904.9009 , -585.09454    ,0.0 , 0.0 , 0.0
3757000  , 0.9191919 , -0.37254903 , -0.11214953    , 1249.3108 , 904.91656 , -585.13776    ,0.0 , 0.0 , 0.0
17505000  , 0.94949496 , -0.3529412 , -0.1495327    , 1248.9911 , 904.968 , -585.3301    ,0.0 , 0.0 , 0.0
1241000  , 0.969697 , -0.3529412 , -0.1495327    , 1248.923 , 904.97595 , -585.3751    ,0.0 , 0.0 , 0.0
17552000  , 0.959596 , -0.37254903 , -0.11214953    , 1247.7518 , 905.0471 , -586.1694    ,0.0 , 0.0 , 0.0
3648000  , 0.959596 , -0.3627451 , -0.11214953    , 1247.6866 , 905.0471 , -586.2143    ,0.0 , 0.0 , 0.0
17559000  , 0.969697 , -0.3627451 , -0.11214953    , 1247.4357 , 905.0471 , -586.3946    ,0.0 , 0.0 , 0.0
2487000  , 0.97979796 , -0.3627451 , -0.07476635    , 1247.3851 , 905.0471 , -586.43207    ,0.0 , 0.0 , 0.0
17506000  , 0.959596 , -0.3137255 , -0.07476635    , 1246.9717 , 905.0471 , -586.7369    ,0.0 , 0.0 , 0.0
2494000  , 0.94949496 , -0.33333334 , -0.037383176    , 1246.929 , 905.04913 , -586.76575    ,0.0 , 0.0 , 0.0
17510000  , 0.94949496 , -0.3137255 , -0.07476635    , 1246.5463 , 905.08563 , -586.9849    ,0.0 , 0.0 , 0.0
