time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
68201219  , 0.02777778 , 0.73472226 , 0.71944445    , 0.0 , 0.0 , -1.0    ,17.9375 , 29.0625 , -29.9375
182926  , 0.02777778 , 0.73472226 , 0.71944445    , 0.0 , 0.0 , -1.0    ,17.9375 , 28.5625 , -29.4375
29756097  , 0.019444445 , 0.73055553 , 0.7263889    , 0.0 , 0.0 , -1.0    ,17.9375 , 28.5625 , -29.4375
213415  , 0.019444445 , 0.73055553 , 0.7263889    , 0.0 , 0.0 , -1.0    ,17.9375 , 27.8125 , -29.0
43689025  , 0.019444445 , 0.73472226 , 0.7263889    , 0.0 , 0.0 , -1.0    ,17.9375 , 27.8125 , -29.0
243903  , 0.019444445 , 0.73472226 , 0.7263889    , 0.0 , 0.0 , -1.0    ,18.1875 , 27.8125 , -28.75
20000000  , 0.02777778 , 0.73055553 , 0.72222227    , 0.0 , 0.0 , -1.0    ,18.1875 , 27.8125 , -28.75
213414  , 0.02777778 , 0.73055553 , 0.72222227    , 0.0 , 0.0 , -1.0    ,18.1875 , 27.5625 , -28.5
47682926  , 0.02777778 , 0.7416667 , 0.7152778    , 0.0 , 0.0 , -1.0    ,18.1875 , 27.5625 , -28.5
213414  , 0.02777778 , 0.7416667 , 0.7152778    , 0.0 , 0.0 , -1.0    ,18.4375 , 27.8125 , -29.1875
30579268  , 0.030555557 , 0.7388889 , 0.7111111    , 0.0 , 0.0 , -1.0    ,18.4375 , 27.8125 , -29.1875
243902  , 0.030555557 , 0.7388889 , 0.7111111    , 0.0 , 0.0 , -1.0    ,18.4375 , 28.5625 , -29.6875
24908537  , 0.030555557 , 0.7416667 , 0.70694447    , 0.0 , 0.0 , -1.0    ,18.4375 , 28.5625 , -29.6875
243902  , 0.030555557 , 0.7416667 , 0.70694447    , 0.0 , 0.0 , -1.0    ,18.6875 , 28.8125 , -29.6875
56554877  , 0.030555557 , 0.74583334 , 0.69861114    , 0.0 , 0.0 , -1.0    ,18.6875 , 28.8125 , -29.6875
6493902  , 0.030555557 , 0.74583334 , 0.69861114    , 0.0 , 0.0 , -1.0    ,18.6875 , 28.8125 , -29.4375
38841463  , 0.034722224 , 0.7416667 , 0.6958334    , 0.0 , 0.0 , -1.0    ,18.6875 , 28.8125 , -29.4375
213415  , 0.034722224 , 0.7416667 , 0.6958334    , 0.0 , 0.0 , -1.0    ,18.1875 , 28.3125 , -29.0
182927  , 0.011111111 , 0.73055553 , 0.69166666    , 0.0 , 0.0 , -1.0    ,18.1875 , 28.3125 , -29.0
182927  , 0.011111111 , 0.73055553 , 0.69166666    , 0.0 , 0.0 , -1.0    ,18.1875 , 28.0625 , -28.5
53506097  , -0.004166667 , 0.73055553 , 0.70694447    , 0.0 , 0.0 , -1.0    ,18.1875 , 28.0625 , -28.5
365853  , -0.004166667 , 0.73055553 , 0.70694447    , 0.0 , 0.0 , -1.0    ,17.9375 , 27.5625 , -29.0
26646342  , 0.004166667 , 0.72222227 , 0.6875    , 0.0 , 0.0 , -1.0    ,17.9375 , 27.5625 , -29.0
213415  , 0.004166667 , 0.72222227 , 0.6875    , 0.0 , 0.0 , -1.0    ,18.1875 , 27.8125 , -29.1875
182927  , -0.058333337 , 0.7263889 , 0.6791667    , 0.0 , 0.0 , -1.0    ,18.1875 , 27.8125 , -29.1875
213415  , -0.058333337 , 0.7263889 , 0.6791667    , 0.0 , 0.0 , -1.0    ,18.4375 , 28.0625 , -29.1875
26371951  , -0.13333334 , 0.7263889 , 0.69861114    , 0.0 , 0.0 , -1.0    ,18.4375 , 28.0625 , -29.1875
243902  , -0.13333334 , 0.7263889 , 0.69861114    , 0.0 , 0.0 , -1.0    ,18.4375 , 28.3125 , -29.4375
25152438  , -0.17222223 , 0.74583334 , 0.6763889    , 0.0 , 0.0 , -1.0    ,18.4375 , 28.3125 , -29.4375
243903  , -0.17222223 , 0.74583334 , 0.6763889    , 0.0 , 0.0 , -1.0    ,17.9375 , 29.0625 , -28.75
49451220  , -0.24166667 , 0.75416666 , 0.6402778    , 0.0 , 0.0 , -1.0    ,17.9375 , 29.0625 , -28.75
243902  , -0.24166667 , 0.75416666 , 0.6402778    , 0.0 , 0.0 , -1.0    ,17.9375 , 29.3125 , -28.25
25518292  , -0.26944447 , 0.75416666 , 0.6486111    , 0.0 , 0.0 , -1.0    ,17.9375 , 29.3125 , -28.25
335366  , -0.26944447 , 0.75416666 , 0.6486111    , 0.0 , 0.0 , -1.0    ,18.4375 , 29.8125 , -27.0
20945122  , -0.2611111 , 0.7777778 , 0.6597222    , 0.0 , 0.0 , -1.0    ,18.4375 , 29.8125 , -27.0
182926  , -0.2611111 , 0.7777778 , 0.6597222    , 0.0 , 0.0 , -1.0    ,18.1875 , 30.5625 , -26.3125
25731707  , -0.24583335 , 0.7652778 , 0.6402778    , 0.0 , 0.0 , -1.0    ,18.1875 , 30.5625 , -26.3125
304878  , -0.24583335 , 0.7652778 , 0.6402778    , 0.0 , 0.0 , -1.0    ,18.1875 , 31.5625 , -25.5625
43993903  , -0.22222224 , 0.78888893 , 0.6333333    , 0.0 , 0.0 , -1.0    ,18.1875 , 31.5625 , -25.5625
243902  , -0.22222224 , 0.78888893 , 0.6333333    , 0.0 , 0.0 , -1.0    ,17.4375 , 32.5 , -24.5625
25548780  , -0.21527778 , 0.82361114 , 0.6291667    , 0.0 , 0.0 , -1.0    ,17.4375 , 32.5 , -24.5625
182927  , -0.21527778 , 0.82361114 , 0.6291667    , 0.0 , 0.0 , -1.0    ,16.1875 , 33.75 , -24.8125
19725609  , -0.22222224 , 0.84722227 , 0.6527778    , 0.0 , 0.0 , -1.0    ,16.1875 , 33.75 , -24.8125
243902  , -0.22222224 , 0.84722227 , 0.6527778    , 0.0 , 0.0 , -1.0    ,15.4375 , 34.75 , -23.8125
47286586  , -0.22638889 , 0.86388886 , 0.6486111    , 0.0 , 0.0 , -1.0    ,15.4375 , 34.75 , -23.8125
213415  , -0.22638889 , 0.86388886 , 0.6486111    , 0.0 , 0.0 , -1.0    ,14.9375 , 35.5 , -22.625
22439024  , -0.25416666 , 0.8791667 , 0.6527778    , 0.0 , 0.0 , -1.0    ,14.9375 , 35.5 , -22.625
213414  , -0.25416666 , 0.8791667 , 0.6527778    , 0.0 , 0.0 , -1.0    ,14.375 , 36.75 , -21.625
21676829  , -0.29305556 , 0.87083334 , 0.65694445    , 0.0 , 0.0 , -1.0    ,14.375 , 36.75 , -21.625
213415  , -0.29305556 , 0.87083334 , 0.65694445    , 0.0 , 0.0 , -1.0    ,13.125 , 38.25 , -20.4375
25121952  , -0.31666666 , 0.85555553 , 0.67222226    , 0.0 , 0.0 , -1.0    ,13.125 , 38.25 , -20.4375
213414  , -0.31666666 , 0.85555553 , 0.67222226    , 0.0 , 0.0 , -1.0    ,12.375 , 39.0 , -19.6875
23262195  , -0.35972223 , 0.8430556 , 0.6875    , 0.0 , 0.0 , -1.0    ,12.375 , 39.0 , -19.6875
4329268  , -0.35972223 , 0.8430556 , 0.6875    , 0.0 , 0.0 , -1.0    ,11.625 , 39.4375 , -19.4375
41859756  , -0.36666667 , 0.8430556 , 0.69166666    , 0.0 , 0.0 , -1.0    ,11.625 , 39.4375 , -19.4375
182927  , -0.36666667 , 0.8430556 , 0.69166666    , 0.0 , 0.0 , -1.0    ,10.625 , 40.1875 , -19.6875
46585366  , -0.35972223 , 0.8208333 , 0.79305553    , 0.0 , 0.0 , -1.0    ,10.625 , 40.1875 , -19.6875
182927  , -0.35972223 , 0.8208333 , 0.79305553    , 0.0 , 0.0 , -1.0    ,9.8125 , 40.6875 , -18.9375
35426830  , -0.35972223 , 0.8361111 , 0.82361114    , 0.0 , 0.0 , -1.0    ,9.8125 , 40.6875 , -18.9375
213414  , -0.35972223 , 0.8361111 , 0.82361114    , 0.0 , 0.0 , -1.0    ,8.8125 , 41.1875 , -18.6875
34085366  , -0.3513889 , 0.84722227 , 0.85555553    , 0.0 , 0.0 , -1.0    ,8.8125 , 41.1875 , -18.6875
274391  , -0.3513889 , 0.84722227 , 0.85555553    , 0.0 , 0.0 , -1.0    ,7.3125 , 41.9375 , -18.9375
32012195  , -0.2847222 , 0.8361111 , 0.9180556    , 0.0 , 0.0 , -1.0    ,7.3125 , 41.9375 , -18.9375
182927  , -0.2847222 , 0.8361111 , 0.9180556    , 0.0 , 0.0 , -1.0    ,6.0 , 41.9375 , -18.6875
41829268  , -0.2888889 , 0.84027785 , 0.92222226    , 0.0 , 0.0 , -1.0    ,6.0 , 41.9375 , -18.6875
1615854  , -0.2888889 , 0.84027785 , 0.92222226    , 0.0 , 0.0 , -1.0    ,5.0 , 41.1875 , -20.4375
304878  , -0.31666666 , 0.81250006 , 0.87083334    , 0.0 , 0.0 , -1.0    ,5.0 , 41.1875 , -20.4375
182927  , -0.31666666 , 0.81250006 , 0.87083334    , 0.0 , 0.0 , -1.0    ,3.75 , 40.1875 , -21.375
31859757  , -0.23888889 , 0.73055553 , 0.96944445    , 0.0 , 0.0 , -1.0    ,3.75 , 40.1875 , -21.375
396342  , -0.23888889 , 0.73055553 , 0.96944445    , 0.0 , 0.0 , -1.0    ,2.5 , 39.0 , -22.875
19359756  , -0.20694445 , 0.6291667 , 1.0583334    , 0.0 , 0.0 , -1.0    ,2.5 , 39.0 , -22.875
243903  , -0.20694445 , 0.6291667 , 1.0583334    , 0.0 , 0.0 , -1.0    ,1.4375 , 37.25 , -25.3125
38993903  , -0.21944445 , 0.57361114 , 1.0708334    , 0.0 , 0.0 , -1.0    ,1.4375 , 37.25 , -25.3125
213414  , -0.21944445 , 0.57361114 , 1.0708334    , 0.0 , 0.0 , -1.0    ,-0.0625 , 35.5 , -27.25
39451219  , -0.21527778 , 0.5083333 , 1.0972222    , 0.0 , 0.0 , -1.0    ,-0.0625 , 35.5 , -27.25
213415  , -0.21527778 , 0.5083333 , 1.0972222    , 0.0 , 0.0 , -1.0    ,-1.5625 , 33.25 , -30.1875
40030488  , -0.17916667 , 0.36666667 , 1.1361111    , 0.0 , 0.0 , -1.0    ,-1.5625 , 33.25 , -30.1875
426829  , -0.17916667 , 0.36666667 , 1.1361111    , 0.0 , 0.0 , -1.0    ,-2.625 , 30.0625 , -32.875
39176829  , -0.17222223 , 0.25416666 , 1.1638889    , 0.0 , 0.0 , -1.0    ,-2.625 , 30.0625 , -32.875
426830  , -0.17222223 , 0.25416666 , 1.1638889    , 0.0 , 0.0 , -1.0    ,-4.375 , 26.8125 , -35.0625
39085366  , -0.20277779 , 0.17916667 , 1.1763889    , 0.0 , 0.0 , -1.0    ,-4.375 , 26.8125 , -35.0625
426829  , -0.20277779 , 0.17916667 , 1.1763889    , 0.0 , 0.0 , -1.0    ,-5.375 , 22.375 , -36.8125
39115853  , -0.22638889 , 0.06666667 , 1.2583334    , 0.0 , 0.0 , -1.0    ,-5.375 , 22.375 , -36.8125
426829  , -0.22638889 , 0.06666667 , 1.2583334    , 0.0 , 0.0 , -1.0    ,-6.4375 , 17.875 , -39.0
40792682  , -0.22638889 , 0.015277779 , 1.2069445    , 0.0 , 0.0 , -1.0    ,-6.4375 , 17.875 , -39.0
579269  , -0.22638889 , 0.015277779 , 1.2069445    , 0.0 , 0.0 , -1.0    ,-7.9375 , 13.9375 , -40.25
