time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
17560000  , 0.04040404 , 0.7745098 , 0.635514    , 584.5409 , 407.954 , -296.28882    ,0.0 , 0.0 , 0.0
1157000  , 0.07070707 , 0.75490195 , 0.5981308    , 584.5409 , 407.954 , -296.28665    ,0.0 , 0.0 , 0.0
17522000  , 0.060606062 , 0.7941176 , 0.635514    , 584.5207 , 407.92227 , -296.28665    ,0.0 , 0.0 , 0.0
2471000  , 0.060606062 , 0.7647059 , 0.6728972    , 584.5371 , 407.92487 , -296.28552    ,0.0 , 0.0 , 0.0
17547000  , 0.08080808 , 0.7647059 , 0.6728972    , 584.67303 , 407.9441 , -296.28552    ,0.0 , 0.0 , 0.0
3701000  , 0.08080808 , 0.7352941 , 0.6728972    , 584.69824 , 407.94772 , -296.28836    ,0.0 , 0.0 , 0.0
17539000  , 0.09090909 , 0.71568626 , 0.5981308    , 584.8016 , 407.9636 , -296.28836    ,0.0 , 0.0 , 0.0
2499000  , 0.05050505 , 0.7745098 , 0.71028036    , 584.82355 , 407.9672 , -296.28836    ,0.0 , 0.0 , 0.0
17487000  , 0.08080808 , 0.7254902 , 0.635514    , 584.9838 , 407.97488 , -296.28836    ,0.0 , 0.0 , 0.0
2512000  , 0.04040404 , 0.7941176 , 0.6728972    , 585.0012 , 407.97296 , -296.29944    ,0.0 , 0.0 , 0.0
17534000  , 0.04040404 , 0.7745098 , 0.6728972    , 585.11273 , 407.95758 , -296.35266    ,0.0 , 0.0 , 0.0
2483000  , 0.030303031 , 0.78431374 , 0.635514    , 585.1279 , 407.9526 , -296.37042    ,0.0 , 0.0 , 0.0
17547000  , 0.030303031 , 0.7941176 , 0.635514    , 585.167 , 407.9007 , -296.4736    ,0.0 , 0.0 , 0.0
2446000  , 0.05050505 , 0.7941176 , 0.635514    , 585.1732 , 407.88733 , -296.49625    ,0.0 , 0.0 , 0.0
29993000  , 0.04040404 , 0.8039216 , 0.635514    , 585.19763 , 407.80273 , -296.63855    ,0.0 , 0.0 , 0.0
1247000  , 0.030303031 , 0.7745098 , 0.5981308    , 585.1989 , 407.78992 , -296.65323    ,0.0 , 0.0 , 0.0
17511000  , 0.04040404 , 0.8039216 , 0.6728972    , 585.2489 , 407.2957 , -297.159    ,0.0 , 0.0 , 0.0
2444000  , 0.0 , 0.8235294 , 0.5981308    , 585.27295 , 407.24985 , -297.19116    ,0.0 , 0.0 , 0.0
17559000  , 0.030303031 , 0.78431374 , 0.5981308    , 585.44025 , 406.81427 , -297.47675    ,0.0 , 0.0 , 0.0
2451000  , 0.05050505 , 0.7941176 , 0.71028036    , 585.4602 , 406.76096 , -297.50964    ,0.0 , 0.0 , 0.0
17558000  , 0.05050505 , 0.8039216 , 0.71028036    , 585.69 , 406.28885 , -297.7837    ,0.0 , 0.0 , 0.0
2456000  , 0.07070707 , 0.7941176 , 0.6728972    , 585.70667 , 406.23712 , -297.8124    ,0.0 , 0.0 , 0.0
17570000  , 0.07070707 , 0.7941176 , 0.6728972    , 585.7942 , 405.81116 , -298.0403    ,0.0 , 0.0 , 0.0
3718000  , 0.07070707 , 0.8039216 , 0.6728972    , 585.8003 , 405.76395 , -298.0637    ,0.0 , 0.0 , 0.0
17565000  , 0.060606062 , 0.7745098 , 0.635514    , 585.81116 , 405.49985 , -298.1996    ,0.0 , 0.0 , 0.0
2434000  , 0.07070707 , 0.7941176 , 0.5981308    , 585.81384 , 405.4521 , -298.22098    ,0.0 , 0.0 , 0.0
17571000  , 0.121212125 , 0.8235294 , 0.5981308    , 585.87054 , 405.03094 , -298.4277    ,0.0 , 0.0 , 0.0
3703000  , 0.121212125 , 0.7941176 , 0.635514    , 585.88715 , 404.9869 , -298.45193    ,0.0 , 0.0 , 0.0
17503000  , 0.13131313 , 0.7941176 , 0.635514    , 585.9737 , 404.80902 , -298.54233    ,0.0 , 0.0 , 0.0
1186000  , 0.11111111 , 0.7941176 , 0.635514    , 585.994 , 404.7707 , -298.5611    ,0.0 , 0.0 , 0.0
18808000  , 0.1010101 , 0.7941176 , 0.635514    , 586.29016 , 404.1284 , -298.8688    ,0.0 , 0.0 , 0.0
2433000  , 0.11111111 , 0.8039216 , 0.635514    , 586.30286 , 404.09628 , -298.8849    ,0.0 , 0.0 , 0.0
17590000  , 0.09090909 , 0.8039216 , 0.635514    , 586.37463 , 403.8918 , -298.99258    ,0.0 , 0.0 , 0.0
2414000  , 0.08080808 , 0.8235294 , 0.635514    , 586.3887 , 403.85437 , -299.01294    ,0.0 , 0.0 , 0.0
17610000  , 0.08080808 , 0.8039216 , 0.635514    , 586.4829 , 403.63193 , -299.15332    ,0.0 , 0.0 , 0.0
2445000  , 0.05050505 , 0.8235294 , 0.5981308    , 586.5003 , 403.5903 , -299.1815    ,0.0 , 0.0 , 0.0
17513000  , 0.030303031 , 0.8039216 , 0.635514    , 586.59454 , 403.3307 , -299.36356    ,0.0 , 0.0 , 0.0
3741000  , 0.01010101 , 0.8137255 , 0.635514    , 586.61084 , 403.28125 , -299.39896    ,0.0 , 0.0 , 0.0
17513000  , 0.0 , 0.8333333 , 0.5981308    , 586.68585 , 403.05817 , -299.5807    ,0.0 , 0.0 , 0.0
2482000  , -0.01010101 , 0.8333333 , 0.5981308    , 586.702 , 403.0023 , -299.6274    ,0.0 , 0.0 , 0.0
17483000  , -0.02020202 , 0.8137255 , 0.635514    , 586.8071 , 402.66638 , -299.91266    ,0.0 , 0.0 , 0.0
2470000  , -0.04040404 , 0.84313726 , 0.635514    , 586.8266 , 402.60223 , -299.96686    ,0.0 , 0.0 , 0.0
17587000  , -0.060606062 , 0.85294116 , 0.635514    , 586.9445 , 402.2298 , -300.28735    ,0.0 , 0.0 , 0.0
2460000  , -0.08080808 , 0.872549 , 0.635514    , 586.9616 , 402.16058 , -300.348    ,0.0 , 0.0 , 0.0
17554000  , -0.09090909 , 0.85294116 , 0.635514    , 587.04755 , 401.75546 , -300.7358    ,0.0 , 0.0 , 0.0
3647000  , -0.09090909 , 0.84313726 , 0.635514    , 587.061 , 401.68237 , -300.80945    ,0.0 , 0.0 , 0.0
17586000  , -0.11111111 , 0.84313726 , 0.635514    , 587.1129 , 401.37085 , -301.14984    ,0.0 , 0.0 , 0.0
2458000  , -0.121212125 , 0.84313726 , 0.635514    , 587.1233 , 401.3019 , -301.23285    ,0.0 , 0.0 , 0.0
17538000  , -0.121212125 , 0.84313726 , 0.635514    , 587.205 , 400.66635 , -302.03766    ,0.0 , 0.0 , 0.0
2462000  , -0.13131313 , 0.84313726 , 0.635514    , 587.2147 , 400.59518 , -302.13596    ,0.0 , 0.0 , 0.0
17459000  , -0.13131313 , 0.8627451 , 0.5981308    , 587.3003 , 399.95386 , -303.0898    ,0.0 , 0.0 , 0.0
2540000  , -0.18181819 , 0.8627451 , 0.5981308    , 587.3091 , 399.8812 , -303.20187    ,0.0 , 0.0 , 0.0
17564000  , -0.21212122 , 0.8627451 , 0.5981308    , 587.38403 , 399.2139 , -304.249    ,0.0 , 0.0 , 0.0
3691000  , -0.22222222 , 0.8627451 , 0.5981308    , 587.3943 , 399.13623 , -304.37122    ,0.0 , 0.0 , 0.0
17545000  , -0.24242425 , 0.84313726 , 0.635514    , 587.4661 , 398.65674 , -305.1398    ,0.0 , 0.0 , 0.0
