time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
71402439  , -0.004166667 , -0.6333333 , 0.8833334    , 0.0 , 0.0 , -1.0    ,-7.8125 , -35.6875 , -23.25
182927  , -0.004166667 , -0.6333333 , 0.8833334    , 0.0 , 0.0 , -1.0    ,-8.3125 , -36.1875 , -23.25
29298781  , -0.011111111 , -0.63611114 , 0.8666667    , 0.0 , 0.0 , -1.0    ,-8.3125 , -36.1875 , -23.25
4176829  , -0.011111111 , -0.63611114 , 0.8666667    , 0.0 , 0.0 , -1.0    ,-8.3125 , -35.9375 , -23.5
25274390  , -0.011111111 , -0.625 , 0.8666667    , 0.0 , 0.0 , -1.0    ,-8.3125 , -35.9375 , -23.5
213415  , -0.011111111 , -0.625 , 0.8666667    , 0.0 , 0.0 , -1.0    ,-7.8125 , -36.1875 , -23.5
29908536  , -0.011111111 , -0.5777778 , 0.87083334    , 0.0 , 0.0 , -1.0    ,-7.8125 , -36.1875 , -23.5
243903  , -0.011111111 , -0.5777778 , 0.87083334    , 0.0 , 0.0 , -1.0    ,-7.5625 , -36.4375 , -23.6875
50884146  , -0.008333334 , -0.5708333 , 0.875    , 0.0 , 0.0 , -1.0    ,-7.5625 , -36.4375 , -23.6875
7621951  , -0.008333334 , -0.5708333 , 0.875    , 0.0 , 0.0 , -1.0    ,-7.8125 , -35.9375 , -23.6875
38140243  , -0.008333334 , -0.57361114 , 0.8666667    , 0.0 , 0.0 , -1.0    ,-7.8125 , -35.9375 , -23.6875
213414  , -0.008333334 , -0.57361114 , 0.8666667    , 0.0 , 0.0 , -1.0    ,-7.8125 , -36.1875 , -23.9375
182927  , -0.008333334 , -0.5708333 , 0.8597222    , 0.0 , 0.0 , -1.0    ,-7.8125 , -36.1875 , -23.9375
182927  , -0.008333334 , -0.5708333 , 0.8597222    , 0.0 , 0.0 , -1.0    ,-8.3125 , -36.4375 , -23.9375
47256098  , -0.011111111 , -0.57361114 , 0.84722227    , 0.0 , 0.0 , -1.0    ,-8.3125 , -36.4375 , -23.9375
213415  , -0.011111111 , -0.57361114 , 0.84722227    , 0.0 , 0.0 , -1.0    ,-8.3125 , -36.4375 , -24.1875
31524390  , -0.008333334 , -0.5861111 , 0.8597222    , 0.0 , 0.0 , -1.0    ,-8.3125 , -36.4375 , -24.1875
243903  , -0.008333334 , -0.5861111 , 0.8597222    , 0.0 , 0.0 , -1.0    ,-8.0625 , -36.6875 , -24.1875
31493902  , 0.0 , -0.5861111 , 0.8513889    , 0.0 , 0.0 , -1.0    ,-8.0625 , -36.6875 , -24.1875
243903  , 0.0 , -0.5861111 , 0.8513889    , 0.0 , 0.0 , -1.0    ,-8.3125 , -36.6875 , -24.1875
26890244  , -0.004166667 , -0.5972222 , 0.84722227    , 0.0 , 0.0 , -1.0    ,-8.3125 , -36.6875 , -24.1875
