time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
17583000  , -0.3030303 , -0.6666667 , 0.635514    , 7518.5215 , -3585.0576 , 695.90656    ,0.0 , 0.0 , 0.0
3859000  , -0.2929293 , -0.6862745 , 0.6728972    , 7518.474 , -3585.0676 , 695.9537    ,0.0 , 0.0 , 0.0
17396000  , -0.3131313 , -0.65686274 , 0.6728972    , 7518.2847 , -3585.1628 , 696.2186    ,0.0 , 0.0 , 0.0
2460000  , -0.34343433 , -0.6764706 , 0.6728972    , 7518.2573 , -3585.196 , 696.29156    ,0.0 , 0.0 , 0.0
17518000  , -0.3838384 , -0.6666667 , 0.635514    , 7518.0903 , -3585.4678 , 696.7537    ,0.0 , 0.0 , 0.0
2451000  , -0.4040404 , -0.71568626 , 0.6728972    , 7518.0674 , -3585.529 , 696.8425    ,0.0 , 0.0 , 0.0
17546000  , -0.41414142 , -0.7058824 , 0.6728972    , 7517.9756 , -3585.883 , 697.3304    ,0.0 , 0.0 , 0.0
2435000  , -0.43434343 , -0.7352941 , 0.6728972    , 7517.963 , -3585.9412 , 697.4074    ,0.0 , 0.0 , 0.0
17544000  , -0.44444445 , -0.7647059 , 0.6728972    , 7517.8677 , -3586.2053 , 697.7574    ,0.0 , 0.0 , 0.0
3747000  , -0.41414142 , -0.7647059 , 0.6728972    , 7517.8477 , -3586.2378 , 697.80493    ,0.0 , 0.0 , 0.0
17500000  , -0.3939394 , -0.7745098 , 0.635514    , 7517.7456 , -3586.3132 , 697.9448    ,0.0 , 0.0 , 0.0
2466000  , -0.35353535 , -0.7745098 , 0.635514    , 7517.726 , -3586.316 , 697.9676    ,0.0 , 0.0 , 0.0
17562000  , -0.3030303 , -0.7941176 , 0.6728972    , 7517.59 , -3586.2642 , 698.1243    ,0.0 , 0.0 , 0.0
2424000  , -0.26262626 , -0.7745098 , 0.5981308    , 7517.586 , -3586.2493 , 698.14374    ,0.0 , 0.0 , 0.0
17560000  , -0.2020202 , -0.7941176 , 0.71028036    , 7517.6406 , -3586.081 , 698.3688    ,0.0 , 0.0 , 0.0
2481000  , -0.15151516 , -0.7745098 , 0.71028036    , 7517.651 , -3586.0615 , 698.4086    ,0.0 , 0.0 , 0.0
17535000  , -0.13131313 , -0.74509805 , 0.71028036    , 7517.7686 , -3585.9038 , 698.9692    ,0.0 , 0.0 , 0.0
3692000  , -0.1010101 , -0.7352941 , 0.71028036    , 7517.784 , -3585.8838 , 699.05743    ,0.0 , 0.0 , 0.0
17512000  , -0.09090909 , -0.7352941 , 0.71028036    , 7517.872 , -3585.7407 , 699.7741    ,0.0 , 0.0 , 0.0
2468000  , -0.14141414 , -0.65686274 , 0.74766356    , 7517.8896 , -3585.7102 , 699.92944    ,0.0 , 0.0 , 0.0
17569000  , -0.18181819 , -0.64705884 , 0.74766356    , 7518.1387 , -3585.3286 , 701.67847    ,0.0 , 0.0 , 0.0
2434000  , -0.17171717 , -0.627451 , 0.71028036    , 7518.161 , -3585.279 , 701.89655    ,0.0 , 0.0 , 0.0
17603000  , -0.1919192 , -0.5882353 , 0.71028036    , 7518.2925 , -3584.7385 , 704.08594    ,0.0 , 0.0 , 0.0
3700000  , -0.24242425 , -0.5588235 , 0.74766356    , 7518.3105 , -3584.6624 , 704.3567    ,0.0 , 0.0 , 0.0
17521000  , -0.26262626 , -0.5294118 , 0.74766356    , 7518.391 , -3584.2524 , 705.69226    ,0.0 , 0.0 , 0.0
2472000  , -0.2929293 , -0.47058824 , 0.71028036    , 7518.4067 , -3584.1406 , 706.0316    ,0.0 , 0.0 , 0.0
17482000  , -0.34343433 , -0.44117647 , 0.71028036    , 7518.4517 , -3583.4072 , 708.09955    ,0.0 , 0.0 , 0.0
2495000  , -0.3939394 , -0.39215687 , 0.71028036    , 7518.453 , -3583.2622 , 708.4911    ,0.0 , 0.0 , 0.0
17490000  , -0.4949495 , -0.3529412 , 0.71028036    , 7518.428 , -3582.3284 , 710.8462    ,0.0 , 0.0 , 0.0
3735000  , -0.6262626 , -0.34313726 , 0.71028036    , 7518.412 , -3582.1426 , 711.279    ,0.0 , 0.0 , 0.0
17594000  , -0.7171717 , -0.3137255 , 0.71028036    , 7518.276 , -3581.2834 , 713.142    ,0.0 , 0.0 , 0.0
2419000  , -0.75757575 , -0.29411766 , 0.74766356    , 7518.2246 , -3581.0789 , 713.57806    ,0.0 , 0.0 , 0.0
17561000  , -0.8080808 , -0.23529412 , 0.6728972    , 7517.7925 , -3579.9697 , 715.9999    ,0.0 , 0.0 , 0.0
3732000  , -0.8888889 , -0.24509804 , 0.5981308    , 7517.6885 , -3579.7883 , 716.4205    ,0.0 , 0.0 , 0.0
17567000  , -0.8888889 , -0.24509804 , 0.5607477    , 7517.155 , -3579.0737 , 718.17    ,0.0 , 0.0 , 0.0
