time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
50823171  , 0.023611112 , -1.0236112 , 0.0625    , 0.0 , 0.0 , -1.0    ,14.25 , -43.9375 , 14.625
182927  , 0.023611112 , -1.0236112 , 0.0625    , 0.0 , 0.0 , -1.0    ,14.25 , -43.6875 , 14.375
50518293  , 0.02777778 , -1.0236112 , 0.054166667    , 0.0 , 0.0 , -1.0    ,14.25 , -43.6875 , 14.375
182927  , 0.02777778 , -1.0236112 , 0.054166667    , 0.0 , 0.0 , -1.0    ,14.0 , -43.1875 , 13.875
51219513  , 0.023611112 , -1.0319445 , 0.08611111    , 0.0 , 0.0 , -1.0    ,14.0 , -43.1875 , 13.875
274390  , 0.023611112 , -1.0319445 , 0.08611111    , 0.0 , 0.0 , -1.0    ,13.75 , -42.9375 , 14.125
30000000  , 0.011111111 , -1.0236112 , 0.08611111    , 0.0 , 0.0 , -1.0    ,13.75 , -42.9375 , 14.125
213414  , 0.011111111 , -1.0236112 , 0.08611111    , 0.0 , 0.0 , -1.0    ,13.75 , -43.1875 , 15.125
26097561  , 0.0 , -1.0194445 , 0.054166667    , 0.0 , 0.0 , -1.0    ,13.75 , -43.1875 , 15.125
3810975  , 0.0 , -1.0194445 , 0.054166667    , 0.0 , 0.0 , -1.0    ,14.0 , -42.9375 , 15.3125
26737804  , 0.004166667 , -1.0152779 , 0.054166667    , 0.0 , 0.0 , -1.0    ,14.0 , -42.9375 , 15.3125
243902  , 0.004166667 , -1.0152779 , 0.054166667    , 0.0 , 0.0 , -1.0    ,14.25 , -42.9375 , 15.3125
36097560  , 0.008333334 , -1.0083333 , 0.07083333    , 0.0 , 0.0 , -1.0    ,14.25 , -42.9375 , 15.3125
182927  , 0.008333334 , -1.0083333 , 0.07083333    , 0.0 , 0.0 , -1.0    ,13.75 , -42.9375 , 14.875
47408537  , 0.011111111 , -1.0083333 , 0.06666667    , 0.0 , 0.0 , -1.0    ,13.75 , -42.9375 , 14.875
7256097  , 0.011111111 , -1.0083333 , 0.06666667    , 0.0 , 0.0 , -1.0    ,13.75 , -42.9375 , 14.625
45975610  , 0.015277779 , -1.0041667 , 0.043055557    , 0.0 , 0.0 , -1.0    ,13.75 , -42.9375 , 14.625
274391  , 0.015277779 , -1.0041667 , 0.043055557    , 0.0 , 0.0 , -1.0    ,13.5 , -43.1875 , 14.875
213415  , 0.023611112 , -1.0111111 , 0.05138889    , 0.0 , 0.0 , -1.0    ,13.5 , -43.1875 , 14.875
