time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
2501000  , -0.060606062 , -0.99019605 , 0.037383176    , 2619.0579 , -2075.5103 , -236.13487    ,0.0 , 0.0 , 0.0
17495000  , -0.01010101 , -1.0294118 , 0.037383176    , 2619.0579 , -2075.489 , -236.10892    ,0.0 , 0.0 , 0.0
2464000  , -0.030303031 , -1.0294118 , 0.037383176    , 2619.061 , -2075.4937 , -236.10892    ,0.0 , 0.0 , 0.0
17491000  , -0.060606062 , -1.0 , 0.07476635    , 2619.1772 , -2075.4763 , -236.08583    ,0.0 , 0.0 , 0.0
3767000  , -0.08080808 , -0.9705882 , 0.07476635    , 2619.1926 , -2075.4727 , -236.08711    ,0.0 , 0.0 , 0.0
18775000  , -0.08080808 , -0.9705882 , 0.07476635    , 2619.2615 , -2075.4434 , -236.1227    ,0.0 , 0.0 , 0.0
1196000  , -0.05050505 , -0.99019605 , 0.11214953    , 2619.276 , -2075.438 , -236.13359    ,0.0 , 0.0 , 0.0
17570000  , -0.030303031 , -0.99019605 , 0.11214953    , 2619.3806 , -2075.411 , -236.23552    ,0.0 , 0.0 , 0.0
2448000  , -0.02020202 , -0.99019605 , 0.11214953    , 2619.3894 , -2075.413 , -236.24672    ,0.0 , 0.0 , 0.0
17515000  , -0.030303031 , -0.99019605 , 0.11214953    , 2619.41 , -2075.4368 , -236.28838    ,0.0 , 0.0 , 0.0
2495000  , -0.030303031 , -0.99019605 , 0.11214953    , 2619.4072 , -2075.4456 , -236.29199    ,0.0 , 0.0 , 0.0
17548000  , -0.030303031 , -0.99019605 , 0.11214953    , 2619.3674 , -2075.4897 , -236.29199    ,0.0 , 0.0 , 0.0
2539000  , -0.030303031 , -0.99019605 , 0.11214953    , 2619.356 , -2075.497 , -236.29042    ,0.0 , 0.0 , 0.0
17358000  , -0.02020202 , -1.0 , 0.11214953    , 2619.2664 , -2075.5251 , -236.26477    ,0.0 , 0.0 , 0.0
2535000  , -0.030303031 , -1.0 , 0.11214953    , 2619.2463 , -2075.5276 , -236.25787    ,0.0 , 0.0 , 0.0
17523000  , -0.04040404 , -1.0098039 , 0.07476635    , 2619.1086 , -2075.5276 , -236.19249    ,0.0 , 0.0 , 0.0
3726000  , -0.030303031 , -1.0196079 , 0.037383176    , 2619.08 , -2075.522 , -236.1779    ,0.0 , 0.0 , 0.0
9990000  , -0.02020202 , -1.0490196 , 0.0    , 2618.9446 , -2075.5083 , -236.09616    ,0.0 , 0.0 , 0.0
