time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
88140244  , 1.0111111 , -0.043055557 , 0.11388889    , 0.0 , 0.0 , -1.0    ,43.75 , 18.125 , 3.3125
457317  , 1.0111111 , -0.043055557 , 0.11388889    , 0.0 , 0.0 , -1.0    ,43.75 , 18.625 , 3.3125
31768293  , 1.0236112 , -0.043055557 , 0.125    , 0.0 , 0.0 , -1.0    ,43.75 , 18.625 , 3.3125
213415  , 1.0236112 , -0.043055557 , 0.125    , 0.0 , 0.0 , -1.0    ,44.0625 , 18.625 , 3.3125
27195122  , 1.0277778 , -0.031944446 , 0.116666675    , 0.0 , 0.0 , -1.0    ,44.0625 , 18.625 , 3.3125
23597561  , 1.0194445 , -0.015277779 , 0.13611111    , 0.0 , 0.0 , -1.0    ,44.0625 , 18.625 , 3.3125
243903  , 1.0194445 , -0.015277779 , 0.13611111    , 0.0 , 0.0 , -1.0    ,44.0625 , 18.375 , 2.8125
44786586  , 0.99583334 , 0.02777778 , 0.15694445    , 0.0 , 0.0 , -1.0    ,44.0625 , 18.375 , 2.8125
243902  , 0.99583334 , 0.02777778 , 0.15694445    , 0.0 , 0.0 , -1.0    ,44.3125 , 18.125 , 2.8125
28170732  , 1.0152779 , -0.02777778 , 0.07361111    , 0.0 , 0.0 , -1.0    ,44.3125 , 18.125 , 2.8125
213414  , 1.0152779 , -0.02777778 , 0.07361111    , 0.0 , 0.0 , -1.0    ,43.75 , 17.875 , 2.8125
43445122  , 1.0236112 , -0.05138889 , 0.08611111    , 0.0 , 0.0 , -1.0    ,43.75 , 17.875 , 2.8125
182927  , 1.0236112 , -0.05138889 , 0.08611111    , 0.0 , 0.0 , -1.0    ,43.0 , 17.4375 , 3.0625
30609756  , 1.0236112 , -0.011111111 , 0.12083334    , 0.0 , 0.0 , -1.0    ,43.0 , 17.4375 , 3.0625
182927  , 1.0236112 , -0.011111111 , 0.12083334    , 0.0 , 0.0 , -1.0    ,43.5 , 17.1875 , 3.0625
30426829  , 1.0472223 , -0.023611112 , 0.13611111    , 0.0 , 0.0 , -1.0    ,43.5 , 17.1875 , 3.0625
335365  , 1.0472223 , -0.023611112 , 0.13611111    , 0.0 , 0.0 , -1.0    ,43.5 , 17.1875 , 2.8125
43140244  , 1.0583334 , -0.031944446 , 0.07777778    , 0.0 , 0.0 , -1.0    ,43.5 , 17.1875 , 2.8125
8353658  , 1.0583334 , -0.031944446 , 0.07777778    , 0.0 , 0.0 , -1.0    ,43.75 , 16.6875 , 2.5625
