time, x, y, z, orX, orY, orZ, orRowX, orRowY, orRowZ
17550000  , -0.1010101 , -0.7941176 , 0.635514    , 2965.9614 , -2893.0806 , -456.06204    ,0.0 , 0.0 , 0.0
2561000  , -0.02020202 , -0.8235294 , 0.5233645    , 2965.97 , -2893.1194 , -456.07336    ,0.0 , 0.0 , 0.0
17406000  , -0.1010101 , -0.7745098 , 0.5233645    , 2966.0093 , -2893.5964 , -456.13492    ,0.0 , 0.0 , 0.0
3681000  , -0.11111111 , -0.8039216 , 0.5607477    , 2966.0488 , -2893.6292 , -456.13373    ,0.0 , 0.0 , 0.0
17566000  , -0.13131313 , -0.78431374 , 0.5607477    , 2966.4014 , -2893.7432 , -456.17603    ,0.0 , 0.0 , 0.0
2494000  , -0.09090909 , -0.78431374 , 0.5981308    , 2966.4658 , -2893.7603 , -456.19272    ,0.0 , 0.0 , 0.0
17502000  , -0.060606062 , -0.8039216 , 0.635514    , 2967.0803 , -2893.8755 , -456.45135    ,0.0 , 0.0 , 0.0
2494000  , -0.04040404 , -0.8039216 , 0.635514    , 2967.1497 , -2893.8848 , -456.4893    ,0.0 , 0.0 , 0.0
17464000  , -0.030303031 , -0.7745098 , 0.635514    , 2967.7488 , -2893.929 , -456.89697    ,0.0 , 0.0 , 0.0
2538000  , -0.01010101 , -0.7745098 , 0.635514    , 2967.8105 , -2893.929 , -456.94742    ,0.0 , 0.0 , 0.0
17467000  , 0.01010101 , -0.7941176 , 0.6728972    , 2968.394 , -2893.8367 , -457.40125    ,0.0 , 0.0 , 0.0
2520000  , 0.01010101 , -0.7745098 , 0.6728972    , 2968.4563 , -2893.822 , -457.44443    ,0.0 , 0.0 , 0.0
17568000  , 0.0 , -0.7941176 , 0.6728972    , 2968.99 , -2893.6719 , -457.7867    ,0.0 , 0.0 , 0.0
3643000  , 0.05050505 , -0.8137255 , 0.5981308    , 2969.0476 , -2893.6506 , -457.82016    ,0.0 , 0.0 , 0.0
17561000  , -0.09090909 , -0.7941176 , 0.6728972    , 2969.4392 , -2893.4822 , -458.00607    ,0.0 , 0.0 , 0.0
2491000  , -0.121212125 , -0.7745098 , 0.6728972    , 2969.534 , -2893.4338 , -458.03137    ,0.0 , 0.0 , 0.0
17468000  , -0.09090909 , -0.8333333 , 0.6728972    , 2970.182 , -2893.105 , -458.27945    ,0.0 , 0.0 , 0.0
2475000  , -0.08080808 , -0.7941176 , 0.71028036    , 2970.3044 , -2893.067 , -458.34146    ,0.0 , 0.0 , 0.0
17552000  , -0.04040404 , -0.74509805 , 0.71028036    , 2971.5535 , -2892.8333 , -458.96356    ,0.0 , 0.0 , 0.0
2496000  , -0.02020202 , -0.75490195 , 0.74766356    , 2971.7195 , -2892.8154 , -459.04422    ,0.0 , 0.0 , 0.0
17476000  , 0.0 , -0.6960784 , 0.74766356    , 2972.815 , -2892.7764 , -459.53268    ,0.0 , 0.0 , 0.0
3774000  , 0.030303031 , -0.6666667 , 0.74766356    , 2973.0225 , -2892.7815 , -459.6191    ,0.0 , 0.0 , 0.0
17528000  , 0.030303031 , -0.65686274 , 0.78504676    , 2973.9949 , -2892.8445 , -459.984    ,0.0 , 0.0 , 0.0
2438000  , 0.05050505 , -0.627451 , 0.8224299    , 2974.242 , -2892.871 , -460.06107    ,0.0 , 0.0 , 0.0
17553000  , 0.04040404 , -0.61764705 , 0.89719623    , 2975.721 , -2893.0962 , -460.40976    ,0.0 , 0.0 , 0.0
2483000  , 0.05050505 , -0.61764705 , 0.89719623    , 2975.9824 , -2893.151 , -460.45163    ,0.0 , 0.0 , 0.0
17503000  , 0.121212125 , -0.6666667 , 0.8598131    , 2977.389 , -2893.5251 , -460.6074    ,0.0 , 0.0 , 0.0
2496000  , 0.1010101 , -0.6764706 , 0.8224299    , 2977.6282 , -2893.5986 , -460.6247    ,0.0 , 0.0 , 0.0
17514000  , 0.05050505 , -0.61764705 , 0.78504676    , 2979.0422 , -2894.0159 , -460.6106    ,0.0 , 0.0 , 0.0
2481000  , 0.030303031 , -0.5882353 , 0.78504676    , 2979.3113 , -2894.088 , -460.60596    ,0.0 , 0.0 , 0.0
17522000  , 0.01010101 , -0.57843137 , 0.78504676    , 2980.952 , -2894.493 , -460.62262    ,0.0 , 0.0 , 0.0
3685000  , 0.0 , -0.5588235 , 0.8224299    , 2981.262 , -2894.5703 , -460.63824    ,0.0 , 0.0 , 0.0
17569000  , -0.02020202 , -0.5 , 0.8224299    , 2982.6394 , -2894.9314 , -460.75555    ,0.0 , 0.0 , 0.0
2445000  , 0.0 , -0.49019608 , 0.89719623    , 2982.9548 , -2895.0146 , -460.7859    ,0.0 , 0.0 , 0.0
17580000  , 0.02020202 , -0.48039216 , 0.93457943    , 2985.7751 , -2895.7375 , -461.02628    ,0.0 , 0.0 , 0.0
